197497,197497,-nan,-nan,-nan
197577,197577,31.2409809527,121.4856977806,12.7689346303
197578,197578,31.2409230990,121.4857347122,11.1779117935
197579,197579,31.2409171300,121.4857609863,10.1400332624
197580,197580,31.2409226474,121.4858080161,8.0430832385
197581,197581,31.2409322579,121.4858160706,4.7785039494
197582,197582,31.2409350654,121.4857573856,11.1518734836
197583,197583,31.2409264546,121.4857936547,2.0034858880
197584,197584,31.2409051676,121.4857265733,11.5074992375
197585,197585,31.2409385826,121.4858107381,-2.6025597726
197586,197586,31.2409122490,121.4858269284,-2.6403204497
197587,197587,31.2409378064,121.4858861888,-4.9319515954
197588,197588,31.2409394105,121.4858664091,-6.9961025087
197589,197589,31.2409538117,121.4858739080,-0.9634887175
197590,197590,31.2409529410,121.4858159897,6.2666909656
197591,197591,31.2409583416,121.4858632965,1.8217358538
197592,197592,31.2409549888,121.4858472097,0.1292787958
197593,197593,31.2409740171,121.4858492183,4.7753309384
197594,197594,31.2409763560,121.4858264505,6.2498662959
197595,197595,31.2409834705,121.4857888446,8.6492150554
197596,197596,31.2409581184,121.4857226331,23.9913156762
197597,197597,31.2409572848,121.4857879033,9.8483145075
197598,197598,31.2409568095,121.4857468218,18.9793538842
197599,197599,31.2409720967,121.4858012438,8.4730720623
197600,197600,31.2409393414,121.4857049732,22.3996725172
197601,197601,31.2409757294,121.4858541320,1.8012905633
197602,197602,31.2409591817,121.4857654044,16.6254265659
197603,197603,31.2409650009,121.4857387797,29.6384755476
197604,197604,31.2409550511,121.4856637340,33.8042486485
197605,197605,31.2409225436,121.4856222837,39.0095693749
197606,197606,31.2408852753,121.4855424343,48.1390211206
197607,197607,31.2408438675,121.4855021648,59.2594604680
197608,197608,31.2408510589,121.4854916950,54.6909795555
197609,197609,31.2408289415,121.4855084911,52.5931501557
197610,197610,31.2408425882,121.4855262788,49.7378187349
197611,197611,31.2408726597,121.4855926058,47.4668785962
197612,197612,31.2409479194,121.4858039068,11.5873365441
197613,197613,31.2409566070,121.4858169854,5.9587969212
197614,197614,31.2409545058,121.4858314865,8.0708828519
197615,197615,31.2409590375,121.4858277312,13.5905526847
197616,197616,31.2409570864,121.4858034149,16.4455623245
197617,197617,31.2409686316,121.4857622175,25.3650573146
197618,197618,31.2409803646,121.4858151617,12.7710910793
197619,197619,31.2409889490,121.4858531195,21.7103166180
197620,197620,31.2410099404,121.4858748624,15.2276003342
197621,197621,31.2409634826,121.4858410068,8.4590717936
197622,197622,31.2409860182,121.4858102892,23.0777724994
197623,197623,31.2409688120,121.4857868130,21.3844423667
197624,197624,31.2409331663,121.4857657326,15.6335717567
197625,197625,31.2409868515,121.4857795402,15.9375690032
197626,197626,31.2409475226,121.4858137015,4.2331926133
197627,197627,31.2409549631,121.4857971155,20.0255542616
197628,197628,31.2408986089,121.4858171726,28.1357512805
197629,197629,31.2409159146,121.4857886298,22.7884173250
197630,197630,31.2409665491,121.4857570746,12.3079049701
197631,197631,31.2409618813,121.4857087712,8.4119732424
197632,197632,31.2409880183,121.4856721517,14.3911376696
197633,197633,31.2409893181,121.4857183723,8.9059193537
197634,197634,31.2409521809,121.4856821191,15.0487048763
197635,197635,31.2409626744,121.4856941370,-0.2458583366
197636,197636,31.2409694525,121.4857181457,-5.0276602436
197637,197637,31.2409369428,121.4855891515,13.9979606087
197638,197638,31.2409241550,121.4857291662,13.7013466788
197639,197639,31.2409919296,121.4857213983,13.3813090343
197640,197640,31.2409276170,121.4857269123,17.8922567056
197641,197641,31.2408992737,121.4857844460,32.6973097087
197642,197642,31.2409442160,121.4859341456,-5.8177085401
197643,197643,31.2409237335,121.4858578873,-9.3367772246
197644,197644,31.2407944499,121.4856318079,1.2743094923
197645,197645,31.2409761481,121.4855042557,40.5955394925
197646,197646,31.2410672661,121.4854751378,46.2417895218
197647,197647,31.2410292667,121.4854108914,47.8117807769
197648,197648,31.2411688248,121.4854459845,88.2250163278
197649,197649,31.2412628453,121.4854308266,102.0964595406
197650,197650,31.2410623804,121.4853486279,72.4512071705
197651,197651,31.2411634784,121.4854468066,36.4032153176
197652,197652,31.2409496745,121.4855774080,21.8959576487
197653,197653,31.2410828264,121.4854880348,33.9327274057
197654,197654,31.2409724710,121.4855279544,34.2187194042
197655,197655,31.2409354170,121.4854675317,36.6782230177
197656,197656,31.2409943130,121.4855165604,41.9747089842
197657,197657,31.2409532281,121.4855657203,56.0508858663
197658,197658,31.2411408999,121.4853861515,59.3943581078
197659,197659,31.2410314713,121.4854610934,35.8425796513
