386921,386921,22.3697560837,114.1151950148,495.9048229304
386922,386922,22.3695188552,114.1149937258,414.4189105152
386923,386923,22.3695158717,114.1150192841,415.8460927431
386924,386924,22.3691112071,114.1107459506,-3030.9679313689
386925,386925,22.3692373388,114.1126919370,-61.2775849069
386926,386926,22.3683063837,114.1128806489,-159.1661104313
386927,386927,22.3695464342,114.1149041509,402.9184010088
386928,386928,22.3694842028,114.1147678174,375.6515756597
386929,386929,22.3693302691,114.1144113701,242.7877821071
386930,386930,22.3694141092,114.1144695138,278.0987291536
386931,386931,-nan,-nan,-6292741.6544055268
386932,386932,22.3694234106,114.1146470430,292.4672568384
386933,386933,22.3693099801,114.1140874451,197.7051246254
386934,386934,22.3695706978,114.1147059047,383.5391663712
386935,386935,22.3692944511,114.1161316102,543.2604606293
386936,386936,-nan,-nan,-6292741.6544055268
386937,386937,22.3692933576,114.1139657678,82.4986516101
386938,386938,22.3687033165,114.1129343706,-49.7973641583
386939,386939,22.3690542063,114.1123235263,-188.1953625854
386940,386940,22.3694250325,114.1148748022,328.6688678915
386941,386941,22.3694060025,114.1144613320,241.0620758648
386942,386942,22.3693637709,114.1147595811,254.7883078077
386943,386943,22.3693648098,114.1148934812,270.6455216489
386944,386944,22.3693762126,114.1147712064,241.9346219200
386945,386945,22.3694030322,114.1148562392,262.8740195771
386946,386946,22.3693923513,114.1148589039,239.6794845194
386947,386947,22.3690937252,114.1171479027,611.2404793796
386948,386948,22.3690828731,114.1171870234,623.2996256991
386949,386949,22.3690762697,114.1171873395,619.7589860935
386950,386950,22.3693336117,114.1146645176,170.3757288108
386951,386951,22.3690690697,114.1171071492,601.7737742016
386952,386952,22.3690323616,114.1171068311,599.4587052454
386953,386953,22.3690368442,114.1170778288,596.5977615518
386954,386954,22.3690352776,114.1170910096,605.9289929074
386955,386955,22.3694269588,114.1148710580,274.5399908158
386956,386956,22.3696636396,114.1158642770,482.1624686925
386957,386957,22.3662455387,114.1145019478,-208.3642549447
386958,386958,22.3693751421,114.1144765631,198.2282085794
386959,386959,22.3694178353,114.1143632362,191.5583104400
386960,386960,22.3693770372,114.1143321744,270.1156172174
386961,386961,22.3693874642,114.1143320803,164.2678340003
386962,386962,22.3694787866,114.1139459408,-47.6813902397
386963,386963,22.3695768018,114.1135552901,-268.8281803984
386964,386964,22.3694485967,114.1150907465,354.7749366214
386965,386965,22.3692456556,114.1162433049,520.2792232582
386966,386966,22.3698056598,114.1127295199,158.6647027410
386967,386967,22.3695382977,114.1143546078,345.3142336811
386968,386968,22.3695544847,114.1138886832,-119.4661177310
386969,386969,22.3699253201,114.1117169954,-42.4834791179
386970,386970,22.3701430574,114.1110590120,-14.6290617298
386971,386971,22.3701566448,114.1113225568,34.2732307013
386972,386972,22.3693480111,114.1186622415,2177.4673371975
386973,386973,-nan,-nan,-6292741.6544055268
386974,386974,22.3692976380,114.1144609569,176.3814647121
386975,386975,22.3693818617,114.1149432039,310.8500397063
386976,386976,22.3695465681,114.1149826188,411.0962661244
386977,386977,22.3693401035,114.1142597323,80.8167465728
386978,386978,-nan,-nan,-6292741.6544055268
386979,386979,22.3694324371,114.1145382625,133.5076007913
386980,386980,22.3692709827,114.1145811538,639.6980685337
386981,386981,22.3692016599,114.1142723155,144.2839736315
386982,386982,22.3692509366,114.1144274584,109.4927107457
386983,386983,22.3690235695,114.1137364609,121.9442688025
386984,386984,22.3692398794,114.1143902211,61.9230189136
386985,386985,22.3693621654,114.1141476027,46.3506576959
386986,386986,22.3691949270,114.1140818290,3.2786645469
386987,386987,22.3693746493,114.1141037347,-10.3150615558
386988,386988,22.3695307532,114.1141269155,8.4784385579
386989,386989,22.3688470052,114.1133336788,193.5202294795
386990,386990,22.3688504043,114.1130817814,39.6149078429
386991,386991,22.3696333534,114.1138307563,-6.9191560307
386992,386992,22.3694507426,114.1133485358,-1033.8539175934
386993,386993,22.3695113172,114.1141430271,20.4067750119
386994,386994,22.3694837790,114.1142270435,54.1760909700
386995,386995,22.3694746486,114.1141829272,43.5900234022
386996,386996,22.3695244071,114.1142206474,90.4767787555
386997,386997,-nan,-nan,-6292741.6544055268
386998,386998,22.3695298205,114.1141520669,34.0417066520
386999,386999,22.3695530364,114.1141407465,26.9027394135
387000,387000,-nan,-nan,-6292741.6544055268
387001,387001,-nan,-nan,-6292741.6544055268
387002,387002,-nan,-nan,-nan
387003,387003,22.3694725714,114.1146479883,447.4136129528
387004,387004,22.3695521655,114.1141399353,57.5544558590
387005,387005,22.3694367998,114.1142970773,57.3840342975
