GPS_week,GPS_tow,Latitude(deg),Longitude(deg),Altitude(m)
2166,136935.000,22.29981669,114.17744445,4.770
2166,136936.000,22.29981766,114.17744321,4.770
2166,136937.000,22.29983666,114.17745938,4.770
2166,136938.000,22.29984483,114.17745775,4.770
2166,136939.000,22.29983810,114.17745689,4.770
2166,136940.000,22.29984197,114.17745937,4.770
2166,136941.000,22.29986315,114.17745474,4.770
2166,136942.000,22.29986315,114.17745473,4.770
2166,136943.000,22.29984657,114.17745523,4.770
2166,136944.000,22.29989454,114.17747979,4.770
2166,136945.000,22.29989345,114.17748123,4.770
2166,136946.000,22.29989594,114.17748750,4.770
2166,136947.000,22.29982501,114.17745155,4.770
2166,136948.000,22.29985858,114.17746788,4.770
2166,136949.000,22.29989849,114.17749132,4.770
2166,136950.000,22.29989837,114.17749129,4.770
2166,136951.000,22.29990937,114.17746293,4.770
2166,136952.000,22.29991148,114.17745953,4.770
2166,136953.000,22.29990626,114.17747243,4.770
2166,136954.000,22.29989609,114.17748189,4.770
2166,136955.000,22.29989579,114.17748268,4.770
2166,136956.000,22.29990579,114.17747360,4.770
2166,136957.000,22.29991311,114.17744563,4.770
2166,136958.000,22.29985842,114.17747283,4.770
2166,136959.000,22.29984287,114.17746130,4.770
2166,136960.000,22.29982082,114.17744332,4.770
2166,136961.000,22.29983973,114.17746338,4.770
2166,136962.000,22.29988700,114.17747973,4.770
2166,136963.000,22.29989257,114.17748627,4.770
2166,136964.000,22.29987462,114.17747136,4.770
2166,136965.000,22.29990605,114.17746987,4.770
2166,136966.000,22.29991599,114.17742674,4.770
2166,136967.000,22.29989794,114.17749112,4.770
2166,136968.000,22.29989776,114.17749122,4.770
2166,136969.000,22.29989762,114.17749128,4.770
2166,136970.000,22.29989780,114.17749119,4.770
2166,136971.000,22.29985937,114.17750726,4.770
2166,136972.000,22.29986937,114.17750883,4.770
2166,136973.000,22.29986941,114.17750903,4.770
2166,136974.000,22.29986106,114.17750906,4.770
2166,136975.000,22.29986115,114.17750907,4.770
2166,136976.000,22.29983826,114.17758681,4.770
2166,136977.000,22.29989738,114.17749166,4.770
2166,136978.000,22.29950556,114.17736138,4.770
2166,136979.000,22.29950548,114.17736133,4.770
2166,136980.000,22.29948022,114.17733047,4.770
2166,136981.000,22.29939114,114.17734848,4.770
2166,136982.000,22.29950472,114.17736130,4.770
2166,136983.000,22.29943802,114.17734471,4.770
2166,136984.000,22.29950535,114.17736130,4.770
2166,136985.000,22.29950419,114.17736081,4.770
2166,136986.000,22.29951312,114.17737090,4.770
2166,136987.000,22.29950525,114.17736124,4.770
2166,136988.000,22.29951912,114.17737758,4.770
2166,136989.000,22.29951912,114.17737758,4.770
2166,136990.000,22.29951487,114.17737264,4.770
2166,136991.000,22.29951488,114.17737271,4.770
2166,136992.000,22.29951537,114.17737272,4.770
2166,136993.000,22.29951234,114.17737096,4.770
2166,136994.000,22.29951932,114.17737922,4.770
2166,136995.000,22.29951654,114.17737703,4.770
2166,136996.000,22.29951634,114.17737621,4.770
2166,136997.000,22.29951373,114.17737409,4.770
2166,136998.000,22.29951823,114.17737771,4.770
2166,136999.000,22.29988289,114.17747893,4.770
2166,137000.000,22.29989101,114.17749031,4.770
2166,137001.000,22.29989167,114.17749063,4.770
2166,137002.000,22.29983179,114.17745699,4.770
2166,137003.000,22.29981441,114.17745212,4.770
2166,137004.000,22.29983652,114.17745544,4.770
2166,137005.000,22.29982918,114.17745868,4.770
2166,137006.000,22.29983650,114.17745546,4.770
2166,137007.000,22.29982918,114.17745869,4.770
2166,137008.000,22.29984867,114.17746093,4.770
2166,137009.000,22.29983674,114.17746735,4.770
2166,137010.000,22.29981866,114.17744120,4.770
2166,137011.000,22.29980271,114.17744785,4.770
2166,137012.000,22.29982006,114.17747391,4.770
2166,137013.000,22.29980581,114.17744803,4.770
2166,137014.000,22.29983460,114.17746674,4.770
2166,137015.000,22.29982036,114.17747243,4.770
2166,137016.000,22.29981454,114.17746995,4.770
2166,137017.000,22.29978364,114.17744310,4.770
2166,137018.000,22.29976165,114.17743816,4.770
2166,137019.000,22.29977531,114.17746358,4.770
2166,137020.000,22.29978305,114.17744641,4.770
2166,137021.000,22.29978332,114.17744595,4.770
2166,137022.000,22.29978345,114.17744572,4.770
2166,137023.000,22.29974696,114.17743767,4.770
2166,137024.000,22.29972882,114.17745570,4.770
2166,137025.000,22.29972882,114.17745570,4.770
2166,137026.000,22.29956033,114.17743764,4.770
2166,137027.000,22.29955809,114.17743407,4.770
