GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
377128.00000000,31.24075515,121.50287408,15.32000000,0.00900000,0.00700000,0.01400000
377129.00000000,31.24075514,121.50287412,15.32000000,0.00900000,0.00700000,0.01500000
377130.00000000,31.24075514,121.50287412,15.32000000,0.00900000,0.00700000,0.01500000
377131.00000000,31.24075514,121.50287416,15.31700000,0.00900000,0.00700000,0.01600000
377132.00000000,31.24075507,121.50287411,15.31800000,0.00800000,0.00600000,0.01100000
377133.00000000,31.24075507,121.50287411,15.31700000,0.00800000,0.00600000,0.01200000
377134.00000000,31.24075507,121.50287411,15.31700000,0.00800000,0.00600000,0.01200000
377135.00000000,31.24075505,121.50287408,15.31800000,0.00900000,0.00700000,0.01300000
377136.00000000,31.24075501,121.50287404,15.32000000,0.00900000,0.00700000,0.01400000
377137.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377138.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377139.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377140.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377141.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377142.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377143.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377144.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377145.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377146.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377147.00000000,31.24075495,121.50287401,15.32200000,0.01000000,0.00700000,0.01400000
377148.00000000,31.24075494,121.50287397,15.32400000,0.01000000,0.00800000,0.01500000
377149.00000000,31.24075494,121.50287397,15.32400000,0.01000000,0.00800000,0.01500000
377150.00000000,31.24075487,121.50287398,15.32500000,0.01000000,0.00700000,0.01500000
377151.00000000,31.24075450,121.50287392,15.33200000,0.01000000,0.00700000,0.01500000
377152.00000000,31.24075379,121.50287416,15.31700000,0.01000000,0.00700000,0.01500000
377153.00000000,31.24075366,121.50287416,15.32400000,0.01000000,0.00700000,0.01500000
377154.00000000,31.24075432,121.50287408,15.32100000,0.01000000,0.00700000,0.01600000
377155.00000000,31.24075445,121.50287432,15.30700000,0.01100000,0.00700000,0.01600000
377156.00000000,31.24075453,121.50287442,15.29800000,0.01100000,0.00700000,0.01600000
377157.00000000,31.24075444,121.50287426,15.30200000,0.01100000,0.00700000,0.01600000
377158.00000000,31.24075441,121.50287431,15.29600000,0.01100000,0.00700000,0.01600000
377159.00000000,31.24075440,121.50287438,15.28900000,0.01100000,0.00700000,0.01600000
377160.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
377161.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
377162.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
377163.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
377164.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
377165.00000000,31.24075442,121.50287440,15.28600000,0.01100000,0.00700000,0.01500000
