365579,365579,-nan,-nan,-nan
365774,365774,31.2586982851,121.6165061244,92.6109606756
365775,365775,31.2587052862,121.6164539786,87.3498791396
365777,365777,31.2586737982,121.6164955617,93.3323153636
365778,365778,31.2586930441,121.6164606338,84.3339658168
365782,365782,31.2586520286,121.6164644646,77.6968495465
365783,365783,31.2585959690,121.6165074035,61.0126574565
365788,365788,31.2586075395,121.6165075616,55.2694484582
365789,365789,31.2586743032,121.6165961105,53.5421736920
365791,365791,31.2587182776,121.6165982538,50.6028493559
365792,365792,31.2584864422,121.6166935964,60.9665382479
365796,365796,31.2585333654,121.6167128378,57.7638099110
365797,365797,31.2585331929,121.6167880020,70.2542863300
365801,365801,31.2587208609,121.6167178294,72.6939564371
365802,365802,31.2587850394,121.6168594104,81.9678182516
365803,365803,30.6644273117,122.0511520484,-46257.1234154475
365806,365806,30.6205477812,122.2106839880,-63483.8203647242
365807,365807,31.2586132800,121.6169670394,86.7757092647
365810,365810,31.2586420459,121.6170050527,91.1403096747
365811,365811,31.2587393637,121.6170805762,94.4584647618
365814,365814,31.2587109994,121.6170479611,89.4665264230
365815,365815,31.2587485706,121.6170144582,86.1147926889
365818,365818,31.2587879388,121.6170420760,83.1065495689
365819,365819,31.2585720584,121.6171163313,68.8879412858
365822,365822,29.9719141324,124.2193642020,-94727.2561918243
365823,365823,29.8128219402,122.6470768624,154237.3671908959
365826,365826,29.7926441511,122.6301035473,107495.3412570418
365827,365827,29.7883425166,122.7003080251,122979.1006875373
365830,365830,29.7199953979,122.7351019263,121061.7163353844
365831,365831,29.0400875750,123.1620921707,206535.2433076475
365834,365834,29.3321198285,123.0491556466,156914.0985337712
365835,365835,29.6167499530,122.7758758279,138711.8509888121
365838,365838,29.8528652123,122.6196929293,104732.6935504697
365839,365839,29.7586708208,122.6353427742,122721.0794561002
365842,365842,29.8839132559,122.4012234061,65701.3233904387
365843,365843,29.5888448116,122.8416146076,-13032.8528759957
365846,365846,29.2580273058,123.0912404391,-96275.5089432256
365847,365847,28.6491801312,123.3981514107,-238762.1986226036
365850,365850,31.2580919425,121.6170414038,46.7380409446
365851,365851,31.2581095597,121.6171188452,41.3240381081
365854,365854,31.2580883551,121.6170978227,41.7101372256
365855,365855,31.2580538791,121.6171683750,47.2770405582
365858,365858,31.2580663270,121.6171654290,41.3642616336
365859,365859,29.4724723993,121.8895212296,79341.5066893832
365862,365862,29.2322651775,121.7630335405,67013.9130377949
365863,365863,29.4888818711,121.8653480600,56775.5773261262
365866,365866,29.6317018970,121.8716846143,56606.0418985532
365867,365867,29.1798103585,121.7750901808,62486.4400848199
365870,365870,29.3981398245,121.8314887606,66034.2216778965
365871,365871,29.5621165699,122.0357392266,64928.3520947995
365874,365874,29.2117610126,122.0125734848,73862.9959520028
365875,365875,31.2580263427,121.6176906424,65.4178974291
365878,365878,31.2579616764,121.6176581354,64.4973228244
365879,365879,29.8137213841,122.2441734904,60670.6855185010
365882,365882,30.0459898888,122.1842379110,26786.9555883015
365883,365883,30.1249374339,122.1233831324,56425.4372232970
365886,365886,30.1417174753,122.1846221980,59738.6213320039
365887,365887,30.3577557453,122.1269911855,76037.5234803728
365890,365890,30.2596659793,122.2702402580,58928.1691713069
365891,365891,29.9126119733,122.2900618824,68620.7324777236
365894,365894,29.9777230665,122.2384457114,30442.5042179210
365895,365895,31.2579114504,121.6174164281,39.4572469000
365898,365898,31.2579467561,121.6173928883,38.9467598681
365902,365902,31.2580560093,121.6174071627,45.2963211066
365903,365903,31.2581543263,121.6174763240,59.9873379782
365906,365906,31.2582191322,121.6174634697,57.1889659430
365907,365907,31.2583083882,121.6174129818,65.9785501137
365914,365914,31.2583357744,121.6174289568,73.7539465278
365915,365915,31.2583237597,121.6173070720,67.6274480232
365923,365923,31.2583336884,121.6173028051,70.1999195365
365924,365924,31.2585929833,121.6173785257,80.0071592531
365925,365925,31.2587057111,121.6173616341,81.7241443517
365928,365928,31.2586450032,121.6173437604,75.1506987418
365929,365929,31.2587778488,121.6172983486,94.0836853701
365937,365937,31.2587744683,121.6172518510,85.4148504312
365938,365938,31.2588360715,121.6170964127,96.1895245733
365941,365941,31.2589143110,121.6171136019,93.5104406166
365942,365942,31.2586512931,121.6169102431,77.3435705524
365943,365943,31.2585684839,121.6169382314,73.1073124897
365946,365946,31.2586337966,121.6168611556,80.9905530683
365947,365947,31.2586393191,121.6168487694,77.9663640618
365951,365951,31.2586899212,121.6168019843,78.6571766147
365952,365952,31.2586828029,121.6167913902,87.3855583478
365957,365957,31.2587631734,121.6167328873,92.5961673029
365958,365958,31.2588147999,121.6168881559,82.9359551356
365960,365960,31.2588066895,121.6168918921,86.2890431847
