197636,197636,-nan,-nan,-6292741.6544055268
197753,197753,31.2406176407,121.4840634414,67.1422534289
197754,197754,31.2406171829,121.4840221386,69.3203866106
197755,197755,31.2406034888,121.4839699395,69.5167620580
197756,197756,31.2405998290,121.4839699402,68.4829175985
197757,197757,31.2405996055,121.4839576547,72.8703742853
197758,197758,31.2406180819,121.4839586594,64.9543052226
197759,197759,31.2406249262,121.4839908606,67.8400836569
197761,197761,31.2406135275,121.4839844754,60.2081613686
197762,197762,31.2405799823,121.4839294823,63.8951458897
197764,197764,31.2405870123,121.4839038082,64.5571064240
197765,197765,31.2405908712,121.4838969897,63.6285378193
197766,197766,31.2405807479,121.4838598419,61.1956502190
197767,197767,31.2405981120,121.4839006806,58.6989329591
197768,197768,31.2406012504,121.4839052996,56.1641991767
197769,197769,31.2406116115,121.4839020075,52.9355284198
197770,197770,31.2406296795,121.4838907479,56.2261297679
197771,197771,31.2405990833,121.4838549278,47.8077505857
197772,197772,31.2405791453,121.4837885183,52.2634059320
197773,197773,31.2405846393,121.4837720256,64.2947517679
197774,197774,31.2405543971,121.4837017672,67.5561774007
197775,197775,31.2405312930,121.4836537877,63.2966386248
197776,197776,31.2405602529,121.4836622858,65.4135239206
197777,197777,31.2405526333,121.4836836943,67.7101736919
197778,197778,31.2405423129,121.4836560131,62.6857792864
197779,197779,31.2405770733,121.4836541214,70.4088423230
197780,197780,31.2405497489,121.4836514871,64.7029545018
197781,197781,31.2405724312,121.4836779830,58.0204558058
197783,197783,31.2405563584,121.4836518060,60.8994648033
197784,197784,31.2405482887,121.4836312394,59.5290717799
197786,197786,31.2405347337,121.4836159868,50.1915954577
197787,197787,31.2405076447,121.4836035025,54.4686956280
197789,197789,31.2405106585,121.4836040011,58.7622767824
197790,197790,31.2404976100,121.4836119121,47.3433019024
197791,197791,31.2404807370,121.4835773765,44.3490062794
197792,197792,31.2404950983,121.4835496533,40.3571366182
197793,197793,31.2405001607,121.4835455031,47.1638532658
197794,197794,31.2405005015,121.4835728064,60.9583113338
197795,197795,31.2405199109,121.4835126860,39.2152891456
197796,197796,31.2405133647,121.4834835463,36.0052040858
197797,197797,31.2404938952,121.4834599679,29.9561281760
197798,197798,31.2405130791,121.4834584713,36.9224688601
197799,197799,31.2405029633,121.4834688434,33.8546137699
197800,197800,31.2404756391,121.4834384049,32.6601099904
197801,197801,31.2404734921,121.4834336024,29.4765907748
197802,197802,31.2404944494,121.4834283840,29.8068570190
197804,197804,31.2404727008,121.4834215986,25.6772319055
197805,197805,31.2404859817,121.4833917704,29.8660146896
