GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
367020.00000000,31.25778426,121.61668125,18.39700000,0.53600000,0.75300000,0.86000000
367021.00000000,31.25779317,121.61667418,18.37400000,0.54300000,0.76500000,0.88400000
367022.00000000,31.25780184,121.61666662,18.33800000,0.54900000,0.77400000,0.90900000
367023.00000000,31.25781018,121.61665584,18.40600000,0.53700000,0.73900000,0.90600000
367024.00000000,31.25781834,121.61664570,18.47500000,0.53100000,0.72200000,0.90500000
367025.00000000,31.25782676,121.61663731,18.53600000,0.53100000,0.71700000,0.90800000
367026.00000000,31.25783581,121.61663009,18.58600000,0.53600000,0.71700000,0.91800000
367027.00000000,31.25784456,121.61662397,18.58400000,0.54700000,0.71700000,0.93700000
367028.00000000,31.25785266,121.61661598,18.62900000,0.54700000,0.70700000,0.94300000
367029.00000000,31.25786065,121.61660701,18.69400000,0.54600000,0.69600000,0.94800000
367030.00000000,31.25786919,121.61659870,18.75500000,0.54600000,0.68600000,0.95300000
367031.00000000,31.25787747,121.61659125,18.81800000,0.54600000,0.67700000,0.95800000
367032.00000000,31.25788496,121.61658227,18.89900000,0.54000000,0.66100000,0.95700000
367033.00000000,31.25789326,121.61657514,18.94400000,0.54400000,0.65800000,0.96800000
367034.00000000,31.25790096,121.61656712,19.02600000,0.54000000,0.64400000,0.96700000
367035.00000000,31.25790903,121.61656034,19.04600000,0.54300000,0.64200000,0.97700000
367036.00000000,31.25791751,121.61655370,19.05900000,0.54200000,0.63400000,0.98100000
367037.00000000,31.25792595,121.61654621,19.06700000,0.54000000,0.62700000,0.98400000
367038.00000000,31.25793371,121.61653687,19.13700000,0.54000000,0.62200000,0.98800000
367039.00000000,31.25794132,121.61652789,19.16700000,0.53800000,0.61600000,0.99200000
367040.00000000,31.25794987,121.61652089,19.18100000,0.53600000,0.61000000,0.99500000
367041.00000000,31.25795875,121.61651425,19.19700000,0.53400000,0.60400000,0.99800000
367042.00000000,31.25796750,121.61650761,19.22300000,0.53200000,0.59900000,1.00000000
367043.00000000,31.25797613,121.61650042,19.24600000,0.53100000,0.59400000,1.00300000
367044.00000000,31.25798496,121.61649216,19.30600000,0.52900000,0.59000000,1.00700000
367045.00000000,31.25799363,121.61648280,19.39000000,0.52800000,0.58700000,1.01000000
367046.00000000,31.25800272,121.61647427,19.44200000,0.52500000,0.58300000,1.01300000
367047.00000000,31.25801169,121.61646567,19.47400000,0.52200000,0.57900000,1.01500000
367048.00000000,31.25802062,121.61645669,19.51300000,0.51900000,0.57600000,1.01800000
367049.00000000,31.25802958,121.61644744,19.56000000,0.51600000,0.58000000,1.02000000
367050.00000000,31.25803793,121.61644408,19.60800000,0.55400000,0.58300000,1.02200000
367051.00000000,31.25804651,121.61644821,19.63000000,0.62200000,0.58500000,1.02300000
367052.00000000,31.25805537,121.61645144,19.66300000,0.67100000,0.58400000,1.02500000
367053.00000000,31.25806423,121.61644322,19.71000000,0.65800000,0.56000000,1.01600000
367054.00000000,31.25807386,121.61643419,19.72800000,0.64700000,0.54500000,1.01200000
367055.00000000,31.25808356,121.61642895,19.74100000,0.65300000,0.54200000,1.01200000
367056.00000000,31.25809363,121.61642962,19.75500000,0.68200000,0.54600000,1.01700000
367057.00000000,31.25810409,121.61643441,19.76000000,0.72700000,0.55500000,1.02900000
367058.00000000,31.25811332,121.61642630,19.77300000,0.72100000,0.54800000,1.03000000
367059.00000000,31.25812143,121.61640820,19.81800000,0.68000000,0.52500000,1.01900000
367060.00000000,31.25813049,121.61639501,19.83900000,0.65500000,0.51200000,1.01400000
367061.00000000,31.25814030,121.61638609,19.86800000,0.64800000,0.50800000,1.01400000
367062.00000000,31.25814990,121.61637891,19.86400000,0.65200000,0.50900000,1.01900000
367063.00000000,31.25816059,121.61637339,19.88000000,0.65800000,0.51000000,1.03100000
367064.00000000,31.25817000,121.61636202,19.90000000,0.64300000,0.50300000,1.03100000
367065.00000000,31.25817843,121.61634948,19.94700000,0.62700000,0.49700000,1.03100000
367066.00000000,31.25818659,121.61633073,19.99300000,0.58500000,0.48100000,1.01700000
