184444,184444,-nan,-nan,-6292741.6544055268
184445,184445,-nan,-nan,-6292741.6544055268
184446,184446,-nan,-nan,-6292741.6544055268
184709,184709,31.2340578606,121.5327243804,21.0769148364
184710,184710,31.2340377786,121.5327288939,17.1011125207
184711,184711,31.2340434540,121.5327120439,14.6481450975
184712,184712,31.2341320300,121.5327586192,43.0364164151
184714,184714,31.2341940720,121.5327970382,54.5155977078
184715,184715,31.2341042326,121.5326846050,36.9253811717
184716,184716,31.2341764271,121.5326566791,40.9946286634
184718,184718,31.2341224109,121.5326430476,34.8151757313
184720,184720,31.2341010155,121.5326073467,25.5138333267
184721,184721,31.2341395508,121.5326392141,25.5216925414
184722,184722,31.2341399236,121.5326244250,21.6048153353
184723,184723,31.2341037636,121.5326101071,25.2805436989
184724,184724,31.2341086786,121.5326098684,23.9725729504
184725,184725,31.2341063135,121.5325420081,29.5306293641
184726,184726,31.2341289495,121.5325216015,24.5968748471
184728,184728,31.2341986367,121.5325034033,13.6466778885
184729,184729,31.2342649400,121.5324953545,7.7864168397
184730,184730,31.2342810233,121.5324797096,7.6854312314
184731,184731,31.2342582122,121.5324534100,8.4809125509
184732,184732,31.2342564413,121.5324451969,11.6460802168
184733,184733,31.2342250461,121.5324181286,15.5969660626
184734,184734,31.2342103481,121.5323827881,15.6552071236
184735,184735,31.2342028870,121.5323643180,14.4887801969
184736,184736,31.2342087168,121.5323710930,16.6941248141
184737,184737,31.2341810614,121.5323680522,18.2806072828
184738,184738,31.2341891001,121.5323536750,14.8831280661
184739,184739,31.2341976006,121.5323417893,17.9179964748
184740,184740,31.2341632826,121.5323135806,17.4801517707
184741,184741,31.2342901191,121.5323765123,8.4326629058
184742,184742,31.2343819400,121.5324510961,30.7093384951
184743,184743,31.2343640976,121.5323887589,29.0025059553
184745,184745,31.2343008173,121.5323040389,15.3142940988
184748,184748,31.2343136621,121.5322847414,7.1641027992
184749,184749,31.2343025693,121.5322456636,3.7950959740
184750,184750,31.2342096010,121.5321485224,4.1549663589
184751,184751,31.2342277852,121.5321442798,3.4100107776
184752,184752,31.2342207658,121.5321406462,4.9477822703
184753,184753,31.2342290986,121.5321260105,8.4699994352
184755,184755,31.2342460562,121.5321011591,6.8337855059
184756,184756,31.2342545099,121.5321060501,12.7943496525
184758,184758,31.2342388239,121.5320801163,7.2362010982
184759,184759,31.2342684619,121.5320919267,5.2224644564
184760,184760,31.2341737111,121.5320154806,-0.8331638032
184761,184761,31.2342888762,121.5320156177,-7.6239035321
184762,184762,31.2342936516,121.5320159492,-11.8712020858
184763,184763,31.2346964017,121.5322038582,59.4761602121
184765,184765,31.2346955555,121.5321843836,62.5766201451
184766,184766,31.2347204338,121.5322080348,74.4636294335
184768,184768,31.2347565446,121.5321987734,79.1512805962
184769,184769,31.2347142281,121.5321887697,83.7269548612
184770,184770,31.2347905253,121.5321856899,73.7296401681
184771,184771,31.2347327132,121.5321938972,89.3077881666
184773,184773,31.2347169036,121.5321058372,83.0372108385
184774,184774,31.2347224432,121.5320875074,76.9308764519
184777,184777,31.2347458096,121.5321621297,83.9716434596
184778,184778,31.2347328371,121.5321612135,75.3724768917
184779,184779,31.2347238850,121.5321652786,85.2671438055
184781,184781,31.2347072129,121.5321206805,81.2336505174
184782,184782,31.2346955383,121.5320770725,85.4430902608
184783,184783,31.2347043840,121.5320611489,88.8432585719
184784,184784,31.2345309145,121.5319365732,46.6215320985
184785,184785,31.2345296318,121.5319358944,44.5925310656
184786,184786,31.2345481539,121.5318613055,34.7853320326
184787,184787,31.2345430764,121.5318811088,34.8086802463
184789,184789,31.2345226879,121.5318716631,28.3140525836
184790,184790,31.2345195457,121.5318313950,28.4062464758
184793,184793,31.2345184617,121.5318395689,33.4630672307
184794,184794,31.2345296426,121.5316797472,17.5435754522
184795,184795,31.2345042777,121.5317653178,34.0366930862
184797,184797,31.2345096009,121.5317672432,35.7933471696
184798,184798,31.2344791152,121.5317458890,38.2169313639
184801,184801,31.2345006478,121.5316680534,42.5167259221
184802,184802,31.2345152114,121.5316622778,52.9766704497
184803,184803,31.2344955674,121.5316692417,45.6945542999
184804,184804,31.2345689421,121.5316070599,35.9028424197
184805,184805,31.2345851419,121.5315862470,40.3572648643
184806,184806,31.2345816864,121.5315765481,40.3961892404
184807,184807,31.2345742413,121.5315518832,42.6990912357
184808,184808,31.2347416883,121.5314588060,26.3194255020
184809,184809,31.2345901660,121.5314834801,40.2232718384
184810,184810,31.2348853815,121.5313479273,9.8836266950
184811,184811,31.2345373691,121.5314788381,41.9516973164
184812,184812,31.2349088610,121.5312880588,9.8997359752
184813,184813,31.2344972425,121.5314038672,40.0937438631
184814,184814,31.2344681812,121.5314155199,43.6705663839
184815,184815,31.2344752363,121.5314001761,45.2888977762
184816,184816,31.2348990511,121.5311925240,13.8960149943
184817,184817,31.2346957459,121.5312692954,27.0837340102
184818,184818,31.2344630306,121.5313639050,57.9832652259
184819,184819,31.2345992117,121.5312606725,39.0706600274
184820,184820,31.2345465130,121.5313843386,12.5644058814
184821,184821,31.2344058261,121.5313994162,33.5598067911
184823,184823,31.2344569493,121.5313800374,23.9903924844
184824,184824,31.2342800482,121.5313194957,5.4915276417
184826,184826,31.2342593999,121.5313341164,5.6445810085
184827,184827,31.3296353944,121.4337929114,37356.0941563689
184829,184829,31.2342650374,121.5312868860,9.2801722328
184830,184830,31.2342147210,121.5313311654,22.0136864268
184831,184831,31.2342137070,121.5312998515,24.2881566451
184832,184832,31.2342050785,121.5313025463,36.5739745626
184833,184833,31.2342227092,121.5312520731,23.4710272793
184834,184834,31.2341758609,121.5312979651,33.9288936993
184836,184836,31.2341779865,121.5312676018,28.2599959853
184837,184837,31.2341316422,121.5312241999,26.0170393418
184840,184840,31.3273353785,121.4323067868,39044.3688310407
184841,184841,31.2340466031,121.5312659518,20.5558316041
184842,184842,31.2341037289,121.5311615906,14.1739587500
184843,184843,31.2341598519,121.5311102576,26.1694446403
184844,184844,31.2341601685,121.5310896535,36.5316466699
184846,184846,31.2341321994,121.5311213207,33.0275791029
184847,184847,31.2340960121,121.5311288164,31.4609243211
184848,184848,31.2340594229,121.5311287349,38.4109406892
184849,184849,31.2340298385,121.5311418934,39.5614885068
184850,184850,31.2340566367,121.5310801856,15.0115282461
184851,184851,31.2340723015,121.5310333436,28.1800787176
184852,184852,31.2340282160,121.5310566531,45.6853084790
184854,184854,31.2340081940,121.5310819212,44.5017925087
184855,184855,31.2340127600,121.5310882839,41.1795349823
184856,184856,31.2340047849,121.5310397797,22.1225990148
184857,184857,31.2340111853,121.5310174918,18.4987356192
184858,184858,31.2339954466,121.5310138800,32.0781377758
184859,184859,31.2338789374,121.5310499723,19.8625944720
184860,184860,31.2338906425,121.5309947506,13.4337684012
184861,184861,31.2338779953,121.5310130915,17.4283414290
184862,184862,31.2338464055,121.5310751654,25.5540804248
184863,184863,31.2339146015,121.5309887984,43.4243217859
184864,184864,31.2339195483,121.5309782645,37.4326402701
184865,184865,31.2338743344,121.5310096164,37.6302524572
184866,184866,31.2337966219,121.5310663876,28.8114701627
184867,184867,31.2338384605,121.5310049906,26.7743928462
184869,184869,31.2338258953,121.5310050406,33.7107212738
184870,184870,31.2332770387,121.5281155127,1117.7141903302
184871,184871,31.0588600692,121.1418248551,160963.9368109611
184872,184872,31.1655439855,121.0853934110,167432.3265609905
184873,184873,31.1717198716,121.0858472140,166186.8501483095
