GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
110597.00000000,34.19641485,108.83706916,371.28600000,0.08700000,0.05700000,0.11400000
110598.00000000,34.19645164,108.83709177,371.20900000,0.08700000,0.05700000,0.11400000
110599.00000000,34.19649229,108.83709302,371.15400000,0.08700000,0.05700000,0.11400000
110600.00000000,34.19652367,108.83706914,371.13600000,0.08700000,0.05700000,0.11400000
110601.00000000,34.19653240,108.83703416,371.14400000,0.08700000,0.05700000,0.11400000
110602.00000000,34.19652150,108.83700481,371.06600000,0.08700000,0.05700000,0.11300000
110603.00000000,34.19649214,108.83699564,371.03500000,0.08700000,0.05700000,0.11300000
110604.00000000,34.19645750,108.83701942,371.12100000,0.08600000,0.05700000,0.11300000
110605.00000000,34.19642779,108.83705315,371.18900000,0.08600000,0.05700000,0.11300000
110606.00000000,34.19639472,108.83707895,371.13400000,0.08600000,0.05700000,0.11300000
110607.00000000,34.19635614,108.83709312,371.09000000,0.08600000,0.05700000,0.11200000
110608.00000000,34.19631759,108.83708850,371.07700000,0.08600000,0.05700000,0.11200000
110609.00000000,34.19629167,108.83706581,371.10900000,0.08600000,0.05700000,0.11200000
110610.00000000,34.19628321,108.83703773,371.10400000,0.08600000,0.05700000,0.11200000
110611.00000000,34.19629038,108.83701179,371.04400000,0.08600000,0.05700000,0.11100000
110612.00000000,34.19631419,108.83699567,371.01600000,0.08600000,0.05700000,0.11100000
110613.00000000,34.19635284,108.83699606,371.00200000,0.08600000,0.05700000,0.11100000
110614.00000000,34.19639345,108.83701999,371.05100000,0.08600000,0.05700000,0.11000000
110615.00000000,34.19643013,108.83705534,371.05600000,0.08600000,0.05700000,0.11000000
110616.00000000,34.19646609,108.83708387,370.96500000,0.08600000,0.05700000,0.11000000
110617.00000000,34.19650259,108.83708726,370.93200000,0.08600000,0.05700000,0.10900000
110618.00000000,34.19652854,108.83706211,370.96300000,0.08600000,0.05700000,0.10900000
110619.00000000,34.19653451,108.83702820,370.96900000,0.08600000,0.05700000,0.10800000
110620.00000000,34.19652411,108.83700265,370.93000000,0.08500000,0.05700000,0.10800000
110621.00000000,34.19649620,108.83698581,370.93900000,0.08500000,0.05700000,0.10700000
110622.00000000,34.19646879,108.83698349,370.96500000,0.08500000,0.05700000,0.10700000
110623.00000000,34.19645955,108.83698458,371.00000000,0.08500000,0.05700000,0.10600000
110624.00000000,34.19646055,108.83698393,370.98300000,0.08500000,0.05700000,0.10600000
110625.00000000,34.19646053,108.83698320,370.98400000,0.08500000,0.05700000,0.10500000
110626.00000000,34.19646043,108.83698298,371.02000000,0.08500000,0.05700000,0.10500000
110627.00000000,34.19646037,108.83698280,371.02900000,0.08500000,0.05700000,0.10400000
110628.00000000,34.19646019,108.83698177,371.01700000,0.08400000,0.05700000,0.10400000
110629.00000000,34.19646014,108.83698177,370.99600000,0.08400000,0.05700000,0.10300000
110630.00000000,34.19646008,108.83698188,370.98300000,0.08400000,0.05700000,0.10300000
110631.00000000,34.19645883,108.83698293,371.00300000,0.08400000,0.05700000,0.10200000
110632.00000000,34.19644816,108.83699078,371.00000000,0.08300000,0.05700000,0.10100000
110633.00000000,34.19643347,108.83701514,371.02900000,0.08300000,0.05700000,0.10100000
110634.00000000,34.19641092,108.83704799,371.05800000,0.08300000,0.05700000,0.10000000
110635.00000000,34.19637382,108.83707672,371.00700000,0.08300000,0.05700000,0.10000000
110636.00000000,34.19633247,108.83709274,371.00200000,0.08300000,0.05600000,0.09900000
110637.00000000,34.19629629,108.83709167,371.06500000,0.08200000,0.05600000,0.09800000
110638.00000000,34.19626997,108.83707520,371.06100000,0.08200000,0.05600000,0.09800000
110639.00000000,34.19625889,108.83704800,371.09400000,0.08200000,0.05700000,0.09700000
110640.00000000,34.19626659,108.83702065,371.02900000,0.08200000,0.05700000,0.09600000
110641.00000000,34.19629200,108.83700099,371.02100000,0.08200000,0.05700000,0.09600000
110642.00000000,34.19632353,108.83699199,370.99500000,0.08200000,0.05700000,0.09500000
110643.00000000,34.19634767,108.83698800,370.98000000,0.08200000,0.05700000,0.09400000
110644.00000000,34.19635726,108.83698660,371.00100000,0.08200000,0.05700000,0.09400000
110645.00000000,34.19635667,108.83698665,370.98900000,0.08200000,0.05700000,0.09300000
110646.00000000,34.19635632,108.83698661,371.00200000,0.08200000,0.05800000,0.09200000
110647.00000000,34.19635643,108.83698587,371.03100000,0.08200000,0.05800000,0.09200000
110648.00000000,34.19635579,108.83698619,371.03600000,0.08200000,0.05700000,0.09100000
110649.00000000,34.19635591,108.83698621,371.04800000,0.08100000,0.05700000,0.09000000
110650.00000000,34.19635954,108.83698772,371.05500000,0.08100000,0.05700000,0.09000000
110651.00000000,34.19637293,108.83699967,371.06700000,0.08000000,0.05700000,0.08900000
110652.00000000,34.19638518,108.83702822,371.11200000,0.07900000,0.05600000,0.08800000
110653.00000000,34.19640411,108.83706204,371.07700000,0.07900000,0.05600000,0.08800000
110654.00000000,34.19643827,108.83708891,371.01800000,0.07800000,0.05600000,0.08700000
110655.00000000,34.19647798,108.83709056,371.00000000,0.07700000,0.05500000,0.08600000
110656.00000000,34.19650742,108.83706499,371.05600000,0.07700000,0.05400000,0.08600000
110657.00000000,34.19651853,108.83703118,371.06100000,0.07600000,0.05400000,0.08500000
110658.00000000,34.19651031,108.83700373,371.03200000,0.07500000,0.05300000,0.08500000
110659.00000000,34.19648193,108.83699358,371.07200000,0.07400000,0.05200000,0.08400000
110660.00000000,34.19644639,108.83701554,371.17100000,0.07300000,0.05200000,0.08300000
110661.00000000,34.19640886,108.83705146,371.24600000,0.07200000,0.05200000,0.08300000
110662.00000000,34.19636784,108.83708567,371.20300000,0.07200000,0.05100000,0.08200000
110663.00000000,34.19632878,108.83710338,371.22900000,0.07100000,0.05100000,0.08200000
110664.00000000,34.19629832,108.83710689,371.24800000,0.07000000,0.05000000,0.08100000
110665.00000000,34.19628192,108.83710765,371.29000000,0.07000000,0.05000000,0.08100000
110666.00000000,34.19628230,108.83710778,371.28400000,0.07000000,0.05000000,0.08100000
110667.00000000,34.19628262,108.83710766,371.30200000,0.06900000,0.04900000,0.08000000
110668.00000000,34.19628294,108.83710760,371.32100000,0.06900000,0.04900000,0.08000000
110669.00000000,34.19628327,108.83710759,371.33800000,0.06900000,0.04900000,0.07900000
110670.00000000,34.19628362,108.83710760,371.35300000,0.06800000,0.04900000,0.07900000
110671.00000000,34.19628403,108.83710766,371.38500000,0.06800000,0.04900000,0.07900000
110672.00000000,34.19628097,108.83710740,371.40700000,0.06800000,0.04800000,0.07800000
110673.00000000,34.19628188,108.83710744,371.41100000,0.06800000,0.04800000,0.07800000
110674.00000000,34.19628240,108.83710769,371.42800000,0.06800000,0.04800000,0.07800000
110675.00000000,34.19628284,108.83710818,371.47100000,0.06800000,0.04800000,0.07800000
110676.00000000,34.19628369,108.83710841,371.50800000,0.06800000,0.04800000,0.07800000
110677.00000000,34.19628474,108.83710745,371.47100000,0.06800000,0.04800000,0.07700000
110678.00000000,34.19628485,108.83710778,371.45500000,0.06800000,0.04800000,0.07700000
110679.00000000,34.19628494,108.83710792,371.46700000,0.06800000,0.04800000,0.07700000
110680.00000000,34.19628604,108.83710836,371.53000000,0.06800000,0.04800000,0.07700000
110681.00000000,34.19628882,108.83710789,371.53600000,0.06800000,0.04800000,0.07700000
110682.00000000,34.19628816,108.83710866,370.84500000,0.06800000,0.04800000,0.07700000
110683.00000000,34.19628752,108.83710903,370.75700000,0.06800000,0.04800000,0.07700000
110684.00000000,34.19628741,108.83710915,370.76600000,0.06800000,0.04800000,0.07700000
110685.00000000,34.19628737,108.83710919,370.77000000,0.06800000,0.04800000,0.07700000
110686.00000000,34.19628731,108.83710926,370.77700000,0.06800000,0.04800000,0.07700000
110687.00000000,34.19628729,108.83710929,370.78100000,0.06800000,0.04800000,0.07700000
110688.00000000,34.19628728,108.83710928,370.76900000,0.06800000,0.04800000,0.07600000
110689.00000000,34.19628722,108.83710922,370.71200000,0.06800000,0.04700000,0.07200000
110690.00000000,34.19628721,108.83710922,370.71300000,0.06800000,0.04700000,0.07200000
110691.00000000,34.19628721,108.83710922,370.71500000,0.06800000,0.04700000,0.07200000
110692.00000000,34.19628721,108.83710922,370.71700000,0.06800000,0.04700000,0.07200000
110693.00000000,34.19628721,108.83710922,370.71900000,0.06800000,0.04700000,0.07200000
110694.00000000,34.19628721,108.83710922,370.72100000,0.06800000,0.04700000,0.07200000
110695.00000000,34.19628721,108.83710922,370.72300000,0.06800000,0.04700000,0.07200000
110696.00000000,34.19628721,108.83710922,370.72600000,0.06800000,0.04700000,0.07200000
110697.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110698.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110699.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110700.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
