382516,382516,-nan,-nan,-nan
383415,383415,31.2264227330,121.5285631469,137.7723230509
383416,383416,31.2263960652,121.5285291704,135.6974853633
383419,383419,31.2263743823,121.5286585762,123.0860567124
383420,383420,31.2263423966,121.5288521631,126.5398751138
383423,383423,31.2263446222,121.5288032998,133.9434559636
383424,383424,31.2262676445,121.5289223216,129.9784350077
383427,383427,31.2262777659,121.5288273588,131.1829526808
383428,383428,31.2262394218,121.5288653645,121.2663325745
383431,383431,31.2261665005,121.5288346755,96.3168771685
383432,383432,31.2261206497,121.5288017047,107.4101235419
383435,383435,31.2260141031,121.5288490242,118.3900200940
383436,383436,31.2259834270,121.5290525555,59.9964503502
383439,383439,31.2259915127,121.5291271181,54.3837632253
383440,383440,31.2260414982,121.5290540481,42.1452505152
383443,383443,31.2260567264,121.5289216905,46.4039411900
383444,383444,31.2261619806,121.5289164412,64.5500561093
383447,383447,31.2261510288,121.5289104156,71.7189477523
383451,383451,31.2261810593,121.5289705680,64.9380117065
383452,383452,31.2262000239,121.5290027826,76.1995048027
383455,383455,31.2261962133,121.5290539097,69.0117714622
383456,383456,31.2262097690,121.5291775318,69.8640226673
383460,383460,31.2262005341,121.5292163708,76.7642217869
383461,383461,31.2261886993,121.5292698135,86.4237633419
383465,383465,31.2261758820,121.5293236260,96.4755696341
383466,383466,31.2261791020,121.5295452734,99.1262006298
383468,383468,31.2261914451,121.5295844462,104.6196981345
383469,383469,31.2263002918,121.5295160389,119.2757775633
383472,383472,31.2262881121,121.5295343890,134.2777990624
383473,383473,31.2264048831,121.5295465339,97.4460279605
383476,383476,31.2264976468,121.5294628637,98.1271483910
383477,383477,31.2266795180,121.5292222336,39.0939589733
383480,383480,31.2266979835,121.5292073245,61.2136248098
383481,383481,31.2267497634,121.5292118934,74.3804246167
383484,383484,31.2267356955,121.5292340196,65.9716049356
383485,383485,30.8099441894,121.0303438757,-134514.7311405465
383488,383488,31.0239438965,121.3038619754,-59637.2054373728
383489,383489,30.8813021756,121.1388118955,-92083.2976017097
383492,383492,30.9795803407,121.2443328181,-65166.0620890097
383493,383493,30.8771622580,121.2243588798,-96274.4648729314
383496,383496,30.9807725529,121.1933122958,-78702.3579474415
383497,383497,31.2267285920,121.5291573502,60.4464947567
383500,383500,31.2266826519,121.5291788279,70.7430337492
383501,383501,30.8148407011,121.1187228574,-104965.4736696951
383504,383504,31.1311800188,121.3725622563,-28572.2307600316
383505,383505,31.0854235595,121.3391568468,-31095.1514241741
383508,383508,31.2265240400,121.5290431251,93.6878761348
383509,383509,31.2264838517,121.5291930336,82.8943655390
383512,383512,31.2264249454,121.5293040601,92.0777221326
383513,383513,31.2263179703,121.5296831580,83.6251729924
383516,383516,31.2263163953,121.5297532943,69.7371886649
383517,383517,31.2262967245,121.5298077542,70.9303249012
383520,383520,31.2263276260,121.5299177872,63.0633051134
383521,383521,31.2263391838,121.5296534780,94.2185931257
383524,383524,31.2262987432,121.5295599283,96.3439811968
383525,383525,31.2262039702,121.5293535850,85.7834108151
383528,383528,31.2262727271,121.5292316464,81.6355547468
383529,383529,31.2264753994,121.5292326319,46.4395236002
383532,383532,31.2264803809,121.5293117205,41.9332821310
383533,383533,31.2264712346,121.5292499892,49.7815214726
