GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
187488.00000000,31.22580281,121.52834781,16.34800000,1.27900000,1.40600000,1.47500000
187489.00000000,31.22579415,121.52833632,16.31800000,1.29800000,1.44100000,1.51100000
187490.00000000,31.22578607,121.52832396,16.29300000,1.30700000,1.45200000,1.54600000
187491.00000000,31.22577936,121.52831093,16.27100000,1.31700000,1.46300000,1.58200000
187492.00000000,31.22577516,121.52829774,16.24400000,1.30200000,1.45400000,1.58600000
187493.00000000,31.22577290,121.52828415,16.23100000,1.29800000,1.45300000,1.59200000
187494.00000000,31.22577173,121.52826993,16.21600000,1.31100000,1.46600000,1.62800000
187495.00000000,31.22577251,121.52825549,16.18900000,1.34600000,1.50100000,1.72400000
187496.00000000,31.22577537,121.52824275,16.19200000,1.35200000,1.51000000,1.76000000
187497.00000000,31.22577987,121.52823102,16.19100000,1.35600000,1.51700000,1.79600000
187498.00000000,31.22578532,121.52821945,16.18500000,1.35900000,1.52500000,1.83100000
187499.00000000,31.22579105,121.52820745,16.18600000,1.36100000,1.53400000,1.86500000
187500.00000000,31.22579752,121.52819624,16.16800000,1.32800000,1.52900000,1.86400000
187501.00000000,31.22580437,121.52818575,16.17300000,1.29900000,1.52800000,1.85700000
187502.00000000,31.22581181,121.52817567,16.18000000,1.28000000,1.56200000,1.85700000
187503.00000000,31.22581914,121.52816410,16.18500000,1.27200000,1.66400000,1.86500000
187504.00000000,31.22582803,121.52815218,16.18100000,1.27500000,1.84600000,1.88900000
187505.00000000,31.22583798,121.52813997,16.14700000,1.28600000,2.08000000,1.93700000
187506.00000000,31.22584773,121.52812765,16.10600000,1.30700000,2.32600000,2.01600000
187507.00000000,31.22585613,121.52811530,16.03500000,1.33200000,2.55000000,2.12400000
187508.00000000,31.22586238,121.52810335,15.99300000,1.32600000,2.58600000,2.15400000
187509.00000000,31.22586901,121.52809143,15.95700000,1.32100000,2.61500000,2.18300000
187510.00000000,31.22587537,121.52807920,15.91500000,1.31900000,2.63800000,2.21000000
187511.00000000,31.22588187,121.52806781,15.86500000,1.29900000,2.56400000,2.19500000
187512.00000000,31.22588849,121.52805630,15.83600000,1.28900000,2.51100000,2.18400000
187513.00000000,31.22589497,121.52804519,15.82000000,1.31100000,2.49500000,2.18600000
187514.00000000,31.22590114,121.52803575,15.80300000,1.38700000,2.51400000,2.20800000
187515.00000000,31.22590785,121.52802828,15.74900000,1.52600000,2.57100000,2.26200000
187516.00000000,31.22591490,121.52802134,15.67100000,1.69100000,2.65400000,2.34900000
187517.00000000,31.22592159,121.52801064,15.61800000,1.71000000,2.62600000,2.36800000
187518.00000000,31.22592956,121.52800060,15.54300000,1.63800000,2.37500000,2.33500000
187519.00000000,31.22593782,121.52799039,15.48100000,1.57000000,2.12500000,2.30800000
187520.00000000,31.22594546,121.52797940,15.44700000,1.52400000,1.93200000,2.29400000
187521.00000000,31.22595299,121.52796794,15.42200000,1.50300000,1.81300000,2.29200000
187522.00000000,31.22596012,121.52795606,15.40700000,1.50400000,1.76000000,2.30600000
187523.00000000,31.22596744,121.52794431,15.36400000,1.52400000,1.74900000,2.33700000
187524.00000000,31.22597451,121.52793256,15.28000000,1.56100000,1.75900000,2.39000000
187525.00000000,31.22598165,121.52792077,15.16200000,1.59600000,1.71000000,2.45700000
187526.00000000,31.22599057,121.52791019,15.08300000,1.54400000,1.40100000,2.46000000
187527.00000000,31.22599766,121.52789956,15.01000000,1.48900000,1.39800000,2.46100000
187528.00000000,31.22600498,121.52788886,14.92900000,1.42600000,1.39700000,2.46000000
187529.00000000,31.22601213,121.52787784,14.86000000,1.35200000,1.39600000,2.45700000
187530.00000000,31.22601914,121.52786714,14.78400000,1.25900000,1.39500000,2.45100000
187531.00000000,31.22602627,121.52785678,14.70900000,1.16400000,1.39200000,2.44400000
187532.00000000,31.22603338,121.52784344,14.64300000,1.16500000,1.39000000,2.43400000
187533.00000000,31.22604055,121.52782990,14.57800000,1.16700000,1.38700000,2.42200000
187534.00000000,31.22604742,121.52781598,14.50400000,1.16900000,1.38300000,2.40800000
187535.00000000,31.22605477,121.52780197,14.45100000,1.17200000,1.38000000,2.39100000
187536.00000000,31.22606261,121.52778800,14.40900000,1.17500000,1.37600000,2.37300000
187537.00000000,31.22607200,121.52777543,14.38700000,1.18000000,1.37600000,2.35300000
187538.00000000,31.22608312,121.52776622,14.29200000,1.18800000,1.37800000,2.33300000
187539.00000000,31.22609572,121.52775997,14.16100000,1.19700000,1.38000000,2.31000000
187540.00000000,31.22610901,121.52775721,14.10300000,1.20600000,1.38000000,2.28300000
187541.00000000,31.22612231,121.52775800,14.10300000,1.21400000,1.37900000,2.25300000
187542.00000000,31.22613409,121.52776257,14.12300000,1.22300000,1.37800000,2.21900000
187543.00000000,31.22614470,121.52776940,14.15300000,1.23100000,1.37600000,2.18000000
187544.00000000,31.22615463,121.52777728,14.19700000,1.24000000,1.37300000,2.13600000
187545.00000000,31.22616443,121.52778523,14.27200000,1.24900000,1.37000000,2.08500000
187546.00000000,31.22617416,121.52779355,14.35800000,1.25900000,1.36600000,2.02600000
187547.00000000,31.22618462,121.52780184,14.48400000,1.27100000,1.36300000,1.95800000
187548.00000000,31.22619516,121.52781053,14.65200000,1.28400000,1.35800000,1.87200000
187549.00000000,31.22620539,121.52781877,15.16400000,1.27500000,1.32900000,1.59800000
187550.00000000,31.22621540,121.52782645,15.25800000,1.27500000,1.32300000,1.51100000
187551.00000000,31.22622522,121.52783380,15.26800000,1.28800000,1.33700000,1.46700000
187552.00000000,31.22623571,121.52784135,15.59200000,1.28900000,1.32800000,1.27100000
187553.00000000,31.22624642,121.52784887,15.91400000,1.28800000,1.31900000,1.06700000
187554.00000000,31.22625760,121.52785622,15.91100000,1.26900000,1.28000000,1.04300000
187555.00000000,31.22626841,121.52786381,15.89200000,1.25400000,1.24900000,1.02400000
187556.00000000,31.22627922,121.52787124,15.86900000,1.24500000,1.23000000,1.01100000
187557.00000000,31.22629026,121.52787789,15.84000000,1.24100000,1.21800000,1.00300000
187558.00000000,31.22630148,121.52788409,15.80700000,1.24200000,1.21300000,1.00000000
187559.00000000,31.22631247,121.52789048,15.75700000,1.24800000,1.21400000,1.00200000
187560.00000000,31.22632327,121.52789740,15.68000000,1.26000000,1.22000000,1.00900000
187561.00000000,31.22633396,121.52790465,15.57100000,1.27200000,1.22600000,1.02000000
187562.00000000,31.22634514,121.52791200,15.52200000,1.26900000,1.21100000,1.01300000
187563.00000000,31.22635605,121.52791981,15.48500000,1.26500000,1.19600000,1.00600000
187564.00000000,31.22636739,121.52792783,15.45900000,1.25100000,1.16900000,0.99000000
187565.00000000,31.22637831,121.52793509,15.39700000,1.25800000,1.16600000,0.99200000
187566.00000000,31.22639001,121.52794230,15.35700000,1.25400000,1.15100000,0.98600000
187567.00000000,31.22640208,121.52794831,15.34300000,1.25100000,1.13700000,0.97900000
187568.00000000,31.22641370,121.52795541,15.31900000,1.24800000,1.12300000,0.97400000
187569.00000000,31.22642529,121.52796326,15.31000000,1.24500000,1.10900000,0.96800000
187570.00000000,31.22643706,121.52797127,15.29100000,1.24200000,1.09600000,0.96300000
187571.00000000,31.22644936,121.52797875,15.28200000,1.24000000,1.08300000,0.95800000
187572.00000000,31.22646231,121.52798656,15.29700000,1.23900000,1.07200000,0.95400000
187573.00000000,31.22647556,121.52799468,15.29100000,1.23800000,1.06100000,0.95000000
187574.00000000,31.22648871,121.52800301,15.30700000,1.23700000,1.05200000,0.94600000
187575.00000000,31.22650185,121.52801147,15.33500000,1.23700000,1.04300000,0.94300000
187576.00000000,31.22651521,121.52801950,15.37100000,1.23700000,1.03600000,0.93900000
187577.00000000,31.22652826,121.52802783,15.40300000,1.23700000,1.02900000,0.93600000
187578.00000000,31.22654177,121.52803703,15.49700000,1.21900000,1.01200000,0.92200000
187579.00000000,31.22655469,121.52804606,15.52200000,1.22100000,1.00900000,0.92000000
187580.00000000,31.22656703,121.52805563,15.52400000,1.24000000,1.01500000,0.92900000
187581.00000000,31.22657940,121.52806655,15.64200000,1.21500000,0.99100000,0.91100000
187582.00000000,31.22658966,121.52807900,15.72900000,1.19100000,0.97100000,0.89400000
187583.00000000,31.22659654,121.52809316,15.79300000,1.17500000,0.95700000,0.88200000
187584.00000000,31.22659996,121.52810744,15.83000000,1.16600000,0.94900000,0.87400000
187585.00000000,31.22660055,121.52812161,15.86800000,1.16400000,0.94600000,0.87100000
187586.00000000,31.22659751,121.52813436,15.88600000,1.16900000,0.94700000,0.87100000
187587.00000000,31.22659228,121.52814591,15.88900000,1.18000000,0.95300000,0.87400000
187588.00000000,31.22658646,121.52815665,15.88700000,1.19800000,0.96200000,0.88100000
187589.00000000,31.22658023,121.52816719,15.86600000,1.22100000,0.97500000,0.89100000
187590.00000000,31.22657393,121.52817789,15.83400000,1.24200000,0.98400000,0.90100000
187591.00000000,31.22656781,121.52818838,15.83400000,1.23100000,0.97000000,0.89200000
187592.00000000,31.22656140,121.52819906,15.80600000,1.22200000,0.95700000,0.88300000
187593.00000000,31.22655380,121.52820922,15.75500000,1.17200000,0.90900000,0.84800000
187594.00000000,31.22654669,121.52821915,15.75400000,1.14500000,0.88300000,0.83100000
187595.00000000,31.22653971,121.52822887,15.77100000,1.14000000,0.87700000,0.82600000
187596.00000000,31.22653246,121.52823832,15.77800000,1.15200000,0.88200000,0.83000000
187597.00000000,31.22652535,121.52824845,15.75800000,1.17300000,0.89100000,0.83600000
187598.00000000,31.22651842,121.52825957,15.75200000,1.16100000,0.87600000,0.82600000
187599.00000000,31.22651169,121.52827062,15.74600000,1.14900000,0.86100000,0.81600000
187600.00000000,31.22650475,121.52828172,15.74400000,1.13500000,0.84500000,0.80600000
187601.00000000,31.22649743,121.52829295,15.72100000,1.12200000,0.82800000,0.79500000
187602.00000000,31.22649013,121.52830435,15.70400000,1.10700000,0.81100000,0.78500000
187603.00000000,31.22648341,121.52831582,15.70600000,1.09200000,0.79400000,0.77400000
187604.00000000,31.22647719,121.52832784,15.69300000,1.07700000,0.77600000,0.76400000
187605.00000000,31.22647059,121.52834005,15.69900000,1.06100000,0.75800000,0.75300000
187606.00000000,31.22646357,121.52835213,15.70300000,1.04400000,0.74000000,0.74200000
187607.00000000,31.22645610,121.52836377,15.70600000,1.02800000,0.72200000,0.73300000
187608.00000000,31.22644876,121.52837587,15.73400000,1.01400000,0.70400000,0.72700000
187609.00000000,31.22644161,121.52838794,15.78800000,1.00100000,0.68800000,0.72200000
187610.00000000,31.22643329,121.52839963,15.78700000,0.95700000,0.64500000,0.69700000
187611.00000000,31.22642544,121.52841065,15.81100000,0.90700000,0.60000000,0.67000000
187612.00000000,31.22641814,121.52842222,15.80300000,0.85900000,0.55900000,0.64400000
187613.00000000,31.22641063,121.52843387,15.80000000,0.81400000,0.52300000,0.62100000
187614.00000000,31.22640304,121.52844557,15.80600000,0.77400000,0.49200000,0.60100000
187615.00000000,31.22639595,121.52845773,15.80300000,0.74100000,0.46700000,0.58500000
187616.00000000,31.22638935,121.52847026,15.80100000,0.71600000,0.44800000,0.57400000
187617.00000000,31.22638329,121.52848309,15.82400000,0.69700000,0.43400000,0.56600000
187618.00000000,31.22637716,121.52849572,15.84400000,0.68600000,0.42600000,0.56100000
187619.00000000,31.22637125,121.52850839,15.86700000,0.68000000,0.42100000,0.55900000
187620.00000000,31.22636500,121.52852085,15.87400000,0.67900000,0.41800000,0.55900000
187621.00000000,31.22635824,121.52853274,15.90100000,0.68100000,0.41800000,0.56200000
187622.00000000,31.22635194,121.52854466,15.93600000,0.68500000,0.41900000,0.56500000
187623.00000000,31.22634567,121.52855672,15.95700000,0.69000000,0.42000000,0.57000000
187624.00000000,31.22633894,121.52856848,15.96600000,0.69600000,0.42200000,0.57600000
187625.00000000,31.22633199,121.52857957,15.98800000,0.69700000,0.42000000,0.57900000
187626.00000000,31.22632312,121.52858920,15.99800000,0.67500000,0.40700000,0.56800000
187627.00000000,31.22631291,121.52859594,15.99400000,0.65400000,0.39500000,0.55700000
187628.00000000,31.22630311,121.52860415,16.00400000,0.63400000,0.38300000,0.54600000
187629.00000000,31.22629440,121.52861399,16.02800000,0.61300000,0.37200000,0.53400000
187630.00000000,31.22628680,121.52862519,16.03900000,0.59200000,0.36000000,0.52200000
187631.00000000,31.22627937,121.52863665,16.04500000,0.57200000,0.34900000,0.51100000
187632.00000000,31.22627064,121.52864810,16.06400000,0.55200000,0.33800000,0.49900000
187633.00000000,31.22626225,121.52866012,16.15500000,0.53300000,0.32700000,0.48700000
187634.00000000,31.22625309,121.52867034,16.27100000,0.51500000,0.31800000,0.47500000
187635.00000000,31.22624468,121.52868093,16.37300000,0.49600000,0.30800000,0.46300000
187636.00000000,31.22623989,121.52869443,16.47100000,0.47800000,0.29900000,0.45000000
187637.00000000,31.22623712,121.52870843,16.54300000,0.43600000,0.27500000,0.41900000
187638.00000000,31.22623725,121.52872336,16.64700000,0.41900000,0.26600000,0.40900000
187639.00000000,31.22623961,121.52873836,16.75800000,0.41100000,0.26400000,0.40600000
187640.00000000,31.22624434,121.52875198,16.79700000,0.39900000,0.25700000,0.39800000
187641.00000000,31.22625144,121.52876389,16.80000000,0.38800000,0.25100000,0.39000000
187642.00000000,31.22626021,121.52877441,16.81200000,0.37400000,0.24500000,0.37800000
187643.00000000,31.22626982,121.52878372,16.82700000,0.36500000,0.24900000,0.36600000
187644.00000000,31.22627972,121.52879227,16.84200000,0.35700000,0.25200000,0.35400000
187645.00000000,31.22628934,121.52880067,16.85400000,0.34900000,0.25200000,0.34300000
187646.00000000,31.22629840,121.52880966,16.86800000,0.34000000,0.25000000,0.33000000
187647.00000000,31.22630726,121.52881897,16.87700000,0.32900000,0.24600000,0.31800000
187648.00000000,31.22631668,121.52882788,16.88800000,0.31800000,0.24200000,0.30600000
187649.00000000,31.22632637,121.52883689,16.90000000,0.30800000,0.24100000,0.29300000
187650.00000000,31.22633486,121.52884692,16.93500000,0.29700000,0.23800000,0.28100000
187651.00000000,31.22634368,121.52885600,16.90300000,0.27700000,0.22500000,0.26000000
187652.00000000,31.22635307,121.52886482,16.88000000,0.25400000,0.21000000,0.23700000
187653.00000000,31.22636293,121.52887313,16.85000000,0.23100000,0.19300000,0.21600000
187654.00000000,31.22637269,121.52888098,16.83800000,0.20700000,0.17500000,0.19600000
187655.00000000,31.22638211,121.52888940,16.83700000,0.18300000,0.15600000,0.17800000
187656.00000000,31.22639228,121.52889764,16.82500000,0.16000000,0.13700000,0.16100000
187657.00000000,31.22640169,121.52890695,16.82800000,0.13800000,0.11900000,0.14700000
187658.00000000,31.22641147,121.52891583,16.83300000,0.11800000,0.10100000,0.13500000
187659.00000000,31.22642105,121.52892436,16.84300000,0.10000000,0.08500000,0.12500000
