382516,382516,-nan,-nan,-6292741.6544055268
382560,382560,31.2266112594,121.5290320187,49.4221275092
382561,382561,31.2265580238,121.5290523168,49.8652421003
382562,382562,31.2264607536,121.5290719854,40.4430538848
382563,382563,31.2264590464,121.5291011363,34.0964133763
382564,382564,31.2265439058,121.5291696852,38.1926049970
382565,382565,31.2265076700,121.5291227572,54.2078979606
382566,382566,31.2266087809,121.5291914198,52.1398307733
382567,382567,31.2267352223,121.5294286891,-1.0919791487
382568,382568,31.2267353911,121.5292798280,9.4739293615
382569,382569,31.2266789314,121.5292516918,19.0240386790
382570,382570,31.2264988333,121.5290337947,78.0029388569
382571,382571,31.2264541916,121.5290978271,87.3045556974
382572,382572,31.2266069726,121.5292538523,34.5918093943
382573,382573,31.2265734621,121.5292436499,41.7841321909
382574,382574,31.2266709971,121.5292963947,2.1434788686
382575,382575,31.2266623985,121.5294356956,-13.4112566198
382576,382576,31.2266395403,121.5294743105,-13.6885543308
382577,382577,31.2265948518,121.5295580373,-25.2722142613
382578,382578,31.2265879012,121.5295665513,-16.2292759533
382579,382579,31.2264615278,121.5295070293,29.4311170426
382580,382580,31.2263997731,121.5294426995,67.5475257117
382581,382581,31.2264332950,121.5295403114,79.9085020780
382582,382582,31.2263591679,121.5294412244,114.7664570182
382583,382583,31.2264019682,121.5294455772,120.6589649937
382584,382584,31.2264785433,121.5295382009,97.0734761992
382585,382585,31.2264863856,121.5294650500,99.1093976605
382586,382586,31.2265024078,121.5293668951,91.5963914808
382587,382587,31.2265469175,121.5292901236,70.1681467066
382588,382588,31.2265988705,121.5292447393,63.8436140237
382589,382589,31.2266110809,121.5292297126,48.4862064612
382590,382590,31.2267252387,121.5291209516,29.4118902844
382591,382591,31.2267676586,121.5290523314,21.7789603191
382592,382592,31.2267596642,121.5290304206,28.6908042184
382593,382593,31.2267674682,121.5291252384,21.0595207541
382594,382594,31.2267881208,121.5291787253,19.4191173220
382595,382595,31.2268520651,121.5292395405,7.2799036453
382596,382596,31.2268760970,121.5292484489,-1.1047578349
382597,382597,31.2268470524,121.5292304326,0.2387491425
382598,382598,31.2268612528,121.5292494356,-9.8559465692
382599,382599,31.2268643519,121.5292658044,-15.9150037830
382600,382600,31.2268294715,121.5292639731,-5.7528310064
382601,382601,31.2267587184,121.5292518399,20.2535056625
382602,382602,31.2267177913,121.5292614891,40.3563369946
382603,382603,31.2267060756,121.5292529322,45.3983230617
382604,382604,31.2266947270,121.5292296523,47.3044434306
382605,382605,31.2267160189,121.5292581349,49.9117335491
382606,382606,31.2267433222,121.5293022926,43.3334026483
382607,382607,31.2267585478,121.5293065367,37.5172591426
382608,382608,31.2267648002,121.5292989022,24.5471106330
382609,382609,31.2267737625,121.5293014537,21.7563866811
382610,382610,31.2265945256,121.5291236553,83.7785179869
382611,382611,31.2266837251,121.5293093547,20.2727286874
382612,382612,31.2265926875,121.5292297603,16.2256652974
382613,382613,31.2265736738,121.5292631604,-80.3801303234
382614,382614,31.2265770352,121.5294504035,-172.8523740905
382615,382615,31.2264811111,121.5292593794,-93.6000634622
382616,382616,31.2263867862,121.5293576093,-80.8444643794
382617,382617,31.2263420279,121.5293513472,1.6558643638
382618,382618,31.2263315954,121.5292690442,18.3968495326
382619,382619,31.2262818437,121.5292707311,38.4973383042
382620,382620,31.2264519268,121.5293326283,78.3760185461
382621,382621,31.2264858798,121.5293736550,94.4959703655
382622,382622,31.2264632846,121.5294003626,110.6051604951
382623,382623,31.2263912349,121.5295108728,135.0154497499
382624,382624,31.2263166115,121.5295103748,148.4223969046
382625,382625,31.2263125369,121.5294881968,147.8811621440
382626,382626,31.2263406567,121.5295585083,132.3867065061
382627,382627,31.2263302881,121.5295683227,128.3060546581
382628,382628,31.2262864508,121.5295379055,123.1435892448
382629,382629,31.2262856601,121.5295402310,119.0573478814
382630,382630,31.2262473517,121.5294350796,120.7325197723
382631,382631,31.2263054726,121.5293799759,83.7314605831
382632,382632,31.2262607986,121.5294709294,117.5672452673
382633,382633,31.2261267913,121.5293176144,122.8228376480
382634,382634,31.2261086202,121.5293305663,134.7949809913
