377054,377054,-nan,-nan,-nan
377196,377196,31.2417491799,121.5010709838,373.1691559714
377197,377197,31.2418137179,121.5012513945,329.4943228316
377198,377198,31.2418320681,121.5012522879,333.9634131133
377199,377199,31.2418055524,121.5011413493,341.9033645952
377200,377200,31.2419203064,121.5010735611,328.4799230751
377201,377201,31.2417189185,121.5009912746,339.3800593205
377202,377202,31.2420379996,121.5013494887,260.3731757173
377203,377203,31.2421508050,121.5013705091,342.7464224601
377204,377204,31.2423936358,121.5015463421,298.9858149798
377205,377205,31.2431386464,121.5007363610,44.3037964683
377206,377206,31.2413903297,121.5024434824,29.9454693918
377207,377207,31.2433182501,121.5012306435,27.9427192157
377208,377208,31.2414168914,121.5024346658,27.9189687902
377209,377209,31.2414339395,121.5025454245,23.4359134029
377210,377210,31.2414797901,121.5025265699,17.1110587210
377211,377211,31.2416403414,121.5023588597,13.8529465524
377212,377212,31.2416826638,121.5023340010,9.1197104347
377213,377213,31.2417034221,121.5023096450,12.9961915138
377214,377214,31.2417824769,121.5022585460,12.8424961115
377215,377215,31.2408974469,121.5027325058,9.7909098398
377216,377216,31.2409046066,121.5027313656,6.9528727436
377217,377217,31.2409182744,121.5027317437,8.0398945203
377218,377218,31.2409472475,121.5027285409,8.5797817152
377219,377219,31.2409770126,121.5027125464,9.8820179935
377220,377220,31.2409625783,121.5026858224,8.8805965916
377221,377221,31.2409775674,121.5026876117,8.1375530003
377222,377222,31.2409922447,121.5027287577,13.4641867339
377223,377223,31.2409933919,121.5027064383,15.5361331346
377224,377224,31.2410049087,121.5027391285,18.6638200136
377225,377225,31.2411557627,121.5028421695,56.7935067481
377226,377226,31.2411633737,121.5027825876,48.3364504602
377227,377227,31.2410878429,121.5027421914,21.5216303741
377228,377228,31.2409511090,121.5031080157,91.2755816786
377229,377229,31.2412609503,121.5028422156,64.9746706491
377230,377230,31.2413015805,121.5028103692,71.3299086561
377231,377231,31.2413488138,121.5027921426,84.2084715337
377232,377232,31.2414121381,121.5027874426,88.0201043882
377233,377233,31.2414255189,121.5027824900,95.8191075407
377234,377234,31.2414758133,121.5028029467,99.3978421509
377235,377235,31.2415431624,121.5027628351,113.0319465516
377236,377236,31.2415498859,121.5027663432,116.1622130350
377237,377237,31.2415310279,121.5027957730,112.6241702739
377238,377238,31.2415461662,121.5027973963,118.4888687024
377239,377239,31.2415374412,121.5028036971,117.5000355875
