184411,184411,-nan,-nan,-nan
184527,184527,31.2320803426,121.5322173213,40.9244888737
184528,184528,31.2321132890,121.5322751504,41.0511090711
184532,184532,31.2321690347,121.5323253918,43.3733777294
184533,184533,31.2322172162,121.5323638753,32.0991275576
184534,184534,31.2322161489,121.5323749667,33.5033890440
184536,184536,31.2322515404,121.5323819889,28.0491707999
184537,184537,31.2322499334,121.5323767349,27.3141725949
184540,184540,31.2322557846,121.5323777166,26.0592167542
184541,184541,31.2322604834,121.5323872215,41.9619948334
184544,184544,31.2322694661,121.5323873600,35.7213655572
184545,184545,31.2323266766,121.5323923040,37.1332967748
184548,184548,31.2323328900,121.5324066145,37.3952639142
184549,184549,31.2323311102,121.5324809428,37.3255066375
184552,184552,31.2323563638,121.5325073856,35.9890014522
184553,184553,31.2323832272,121.5325088969,44.3761665227
184556,184556,31.2324094301,121.5325219185,42.9807766154
184557,184557,31.2323373494,121.5325602447,34.7051782447
184560,184560,31.2323585227,121.5325783485,40.6144347601
184561,184561,31.2322264170,121.5327580663,43.3905920567
184564,184564,31.2322193037,121.5327989980,39.4643285526
184565,184565,31.2321745119,121.5328345681,55.2434931207
184568,184568,31.2321955623,121.5328199614,47.3303860882
184569,184569,31.2322172681,121.5329185628,41.7602160615
184572,184572,31.2322829287,121.5328739498,37.6989318321
184573,184573,31.2322576741,121.5330039437,42.8268396769
184576,184576,31.2322480637,121.5330093471,48.5452757925
184580,184580,31.2322610506,121.5330405142,44.3491257464
184581,184581,31.2323293872,121.5331105257,55.3720358202
184588,184588,31.2323502318,121.5331234742,55.2497734101
184589,184589,31.2324818123,121.5331274624,40.8487956301
184592,184592,31.2325185150,121.5331073975,39.9262987837
184593,184593,31.2325533752,121.5331231945,53.8104288142
184596,184596,31.2325847552,121.5331601430,61.2276809639
184597,184597,31.2326282488,121.5331182874,54.1471298936
184600,184600,31.2326584133,121.5331030587,43.3510893024
184601,184601,31.2327382933,121.5331303161,58.7989786070
184604,184604,31.2327501115,121.5331401883,59.4675878277
184605,184605,31.2328060946,121.5331686928,53.3927288191
184608,184608,31.2328266828,121.5331523821,41.8999966096
184609,184609,31.2328645694,121.5331701293,45.9771197038
184612,184612,31.2328757220,121.5331597473,41.0464684168
184613,184613,31.2328814400,121.5332050181,54.4505125736
184616,184616,31.2328766556,121.5332308015,55.3325193300
184617,184617,31.2329610154,121.5332371200,39.0033003755
184620,184620,31.2329914775,121.5331645711,31.3593079679
184621,184621,31.2330352967,121.5331628550,43.4774501121
184624,184624,31.2330449124,121.5332318973,46.9832834349
184625,184625,31.2331138902,121.5331336470,25.9308494063
184628,184628,31.2331362154,121.5331181284,21.1273148426
184629,184629,31.2330990636,121.5331560459,41.9612531952
184632,184632,31.2331110398,121.5330967666,32.8198579237
184633,184633,31.2332053464,121.5331719001,27.7972657602
184636,184636,31.2332211143,121.5331654610,27.1990968302
184637,184637,31.2332260367,121.5331960735,49.5847370114
184640,184640,31.2332320124,121.5332252944,51.9231345114
184641,184641,31.2332610923,121.5332558519,49.1741878750
184644,184644,31.2332814784,121.5332614306,47.6080053033
184645,184645,31.2333165602,121.5332729319,52.3887478137
184648,184648,31.2333505631,121.5332521389,43.8954500242
184649,184649,31.2334369276,121.5332523839,42.3514680272
184652,184652,31.2334318737,121.5334169854,61.5438132538
184653,184653,31.2335552543,121.5337524531,103.6546400282
184656,184656,31.2336179964,121.5339110363,112.7936764288
184657,184657,31.2337226153,121.5340080215,100.6607592693
184660,184660,31.2337591151,121.5342144687,132.9419381254
184661,184661,31.2338234003,121.5341397466,127.6147085699
184664,184664,31.2337985106,121.5340967736,130.8515184553
184665,184665,31.2339082175,121.5341634691,131.4001270102
184668,184668,31.2339292902,121.5341236192,126.1003400071
184669,184669,31.2340122385,121.5340364643,101.7999075369
184672,184672,31.2339648929,121.5339181261,96.4684673698
184673,184673,31.2340223050,121.5339034691,100.4553701796
184676,184676,31.2339979270,121.5337990826,87.7109385715
184677,184677,31.2340913199,121.5337449328,64.1776183877
184681,184681,31.2341251937,121.5337750490,79.0701185927
