377089,377089,-nan,-nan,-6292741.6544055268
377334,377334,31.2420771186,121.5015985721,194.7809636105
377337,377337,31.2421074882,121.5016823455,191.1419333293
377338,377338,31.2420771745,121.5016912043,145.0263767632
377341,377341,31.2422890917,121.5015047659,100.7695237941
377342,377342,31.2422581784,121.5014441199,106.2820303683
377346,377346,31.2422001509,121.5014088849,160.0318460462
377347,377347,31.2423149283,121.5013848839,129.3636525650
377352,377352,31.2423246360,121.5013182539,133.5071286828
377353,377353,31.2421769454,121.5016033819,113.9354072614
377356,377356,31.2421590639,121.5016192456,98.6270022856
377357,377357,31.2409742989,121.5007339272,464.2200273086
377360,377360,31.2421687728,121.5017301000,90.8847974560
377361,377361,31.2420928069,121.5015675615,75.5353224887
377364,377364,31.2421016440,121.5016017099,74.2153853719
377365,377365,31.2422381739,121.5020471683,-182.9929543926
377368,377368,31.2411543981,121.4999463359,963.8564486868
377369,377369,31.2421495385,121.5022560480,-220.4484723301
377372,377372,31.2420658403,121.5022725086,-199.8607768898
377373,377373,31.2420890956,121.5022573324,-215.5795861502
377377,377377,31.2420062977,121.5022717993,-214.7126525969
377378,377378,31.2421742556,121.5019805712,-217.2932727061
377381,377381,31.2421692185,121.5019475255,-210.3651102106
377382,377382,31.2419566061,121.5021899650,-189.9513439630
377383,377383,31.2419731205,121.5021621225,-188.4329561204
377384,377384,31.2419822761,121.5019529604,-172.1105738577
377386,377386,31.2419863900,121.5019382224,-153.6081311793
377387,377387,31.2404056642,121.5012264888,652.1419544764
377390,377390,31.2404439284,121.5011082001,509.0544589777
377391,377391,31.2413678167,121.5015395660,223.1270208563
377395,377395,31.2414618284,121.5016161083,199.9412302595
377396,377396,31.2415772818,121.5015871016,180.5606579556
377399,377399,31.2412956177,121.5017439362,203.2414433617
377400,377400,31.2404437673,121.5009714237,462.9855093731
377401,377401,31.2403968318,121.5011386600,453.2232648330
377402,377402,31.2413558629,121.5015531148,201.6054869124
377404,377404,31.2409497621,121.5017114356,224.9887797885
377405,377405,31.2412001326,121.5015744100,206.9680880244
377408,377408,31.2403108153,121.5009086489,458.6507574698
377409,377409,31.2402468086,121.5012363726,496.9904746409
377413,377413,31.2404050633,121.5013841763,499.0067635097
377414,377414,31.2411197355,121.5017658834,245.6398391923
377419,377419,31.2406070350,121.5009386236,462.7856809954
377420,377420,31.2403965639,121.5006972916,532.2958087687
377422,377422,31.2402708354,121.5006237716,519.3845815668
377423,377423,31.2413034420,121.5022095888,-93.4483781012
377426,377426,31.2417986186,121.5011186109,-76.3473189884
377427,377427,31.2418438547,121.5008266071,34.3354692531
377430,377430,31.2418355396,121.5007357985,54.5839416474
377431,377431,31.2428420014,121.4972212186,1240.3848392033
377435,377435,31.2428339649,121.4971452899,1229.4123409795
377436,377436,31.2409394771,121.4995520463,776.4939042007
377440,377440,31.2405078240,121.4996785325,834.5982492859
377441,377441,31.2407298894,121.4994795180,787.9965670727
377442,377442,31.2414896420,121.5012053490,-150.3944409595
377444,377444,31.2401071182,121.4998750052,724.1885834091
377445,377445,31.2402574991,121.4998589247,771.8248343221
377448,377448,31.2403972783,121.4998537453,735.3713336225
377449,377449,31.2403323723,121.4999843776,765.1569084201
377453,377453,31.2401145798,121.4997373325,806.8581842957
377454,377454,31.2397493297,121.4998523535,831.6165654047
377459,377459,31.2397790898,121.5001868055,807.5996976507
377460,377460,31.2393931502,121.5003273760,767.6594210668
377463,377463,31.2399516179,121.4997720293,803.0914346794
377464,377464,31.2393105091,121.5010079141,497.7207822294
377467,377467,31.2399449339,121.5001763399,760.1743034405
377468,377468,31.2385609066,121.5016215237,594.2784771102
377471,377471,31.2393554771,121.5011565232,491.6193824854
377472,377472,31.2384530556,121.5015466242,579.1944078953
377475,377475,31.2388167541,121.5012204244,586.1038065171
377476,377476,31.2401589690,121.4997307345,364.2303902771
377479,377479,31.2402038805,121.4994813974,388.8095126058
377480,377480,31.2402203860,121.4997733578,338.5029071996
377483,377483,31.2407914364,121.4992895031,270.6778066169
377484,377484,31.2407383232,121.4988163676,258.7599569219
