188646,188646,-nan,-nan,-6292741.6544055268
188722,188722,34.2163970673,108.8852858257,377.0421293049
188723,188723,34.2163959455,108.8852891730,376.3466070131
188724,188724,34.2164035509,108.8852001779,397.1753528330
188725,188725,34.2164580846,108.8852464452,385.3652204980
188726,188726,34.2163228845,108.8852920219,383.9729603707
188727,188727,34.2163841466,108.8853625289,364.5091518293
188728,188728,34.2163990553,108.8853395524,367.9052353068
188730,188730,34.2164135821,108.8853522831,365.6151260504
188731,188731,34.2164383353,108.8853151287,380.4882931042
188732,188732,34.2163929236,108.8852414425,401.3903184271
188733,188733,34.2164484768,108.8852945279,380.5452603959
188734,188734,34.2164433309,108.8852713660,382.8151617462
188735,188735,34.2162889288,108.8852964764,401.3425431008
188736,188736,34.2161788730,108.8853821226,423.8200931356
188737,188737,34.2161311849,108.8854122956,428.0239039812
188738,188738,34.2163013836,108.8853710849,401.8178556362
188739,188739,34.2163422336,108.8853709172,398.9429475392
188740,188740,34.2163455293,108.8853601092,397.1640192025
188741,188741,34.2163416021,108.8853622675,394.2984717771
188742,188742,34.2163490167,108.8853699242,390.2569917867
188743,188743,34.2163871836,108.8853089210,403.6489462318
188744,188744,34.2164281777,108.8853052564,398.9095385736
188745,188745,34.2163742509,108.8853204160,400.8532290360
188746,188746,34.2164378390,108.8853458814,403.5701698931
188747,188747,34.2164062328,108.8853126633,405.8300789756
188748,188748,34.2163684311,108.8853024815,402.0132570718
188749,188749,34.2164226341,108.8852894879,406.9102042522
188750,188750,34.2163690036,108.8852859437,396.0615800052
188751,188751,34.2163993598,108.8852863296,408.2800287012
188752,188752,34.2163260330,108.8853067340,406.1752189359
188753,188753,34.2163592760,108.8853556938,403.1946124426
188755,188755,34.2163635631,108.8853434167,401.4935119084
188756,188756,34.2163288431,108.8853769759,401.0681569529
188757,188757,34.2163649845,108.8853241160,405.9467302633
188758,188758,34.2163430546,108.8852999319,397.2515223016
188759,188759,34.2163854332,108.8853412535,398.8736914218
188760,188760,34.2164004394,108.8853142184,405.0912196265
188761,188761,34.2163856542,108.8853350307,401.5029696035
188763,188763,32.6484313516,108.3138223085,29647.7544421249
188764,188764,32.8082642007,107.5823178813,-141293.2984302038
188765,188765,34.2165260104,108.8854148126,399.7444342778
188766,188766,34.2164081980,108.8853670939,390.7684095503
188767,188767,34.2164886637,108.8853464973,408.0663066913
188768,188768,34.2164427095,108.8853461355,413.1190713337
188769,188769,34.2164800318,108.8853823240,409.2751053436
188771,188771,34.2164468899,108.8853630634,411.9476680097
188773,188773,34.2164614836,108.8853778687,412.0418614646
188774,188774,34.2164703999,108.8853408391,406.8201099145
188775,188775,34.2164261621,108.8854082545,396.3091873834
188776,188776,34.2164273581,108.8852731676,421.7459465034
188777,188777,34.2164066978,108.8854084167,400.7970660412
188778,188778,34.2164693706,108.8853399313,403.7664094142
188780,188780,34.2164228344,108.8853369277,406.9084632420
188781,188781,34.2164133444,108.8853336720,406.9951896164
188784,188784,34.2163489011,108.8852863304,412.9934350056
188785,188785,34.2163704338,108.8854351441,401.7870461969
188786,188786,34.2164041850,108.8854217413,409.4288484076
188787,188787,34.2164137937,108.8854389932,397.9604227103
188788,188788,34.2164322208,108.8854474019,400.2977375907
188789,188789,34.2164523070,108.8854055723,406.0987171796
188790,188790,34.2164461289,108.8854542058,403.7191483631
188791,188791,34.2164001315,108.8854451816,412.0554247798
188792,188792,34.2164332502,108.8854435028,404.7245366303
188793,188793,34.2164884886,108.8854992343,402.3645870294
188794,188794,34.2164741697,108.8855180403,396.6597033932
188796,188796,34.2164403610,108.8854908925,400.9463830308
188798,188798,34.2164631253,108.8855504128,398.9149000546
188799,188799,34.2164653577,108.8855468196,400.1696822654
188800,188800,34.2164547449,108.8855871569,400.6023836642
188801,188801,34.2164722138,108.8856119189,404.3095611800
188802,188802,34.2164504587,108.8856383474,396.6692017336
188803,188803,34.2164258405,108.8856496745,399.6276511525
188804,188804,34.2164071467,108.8856138850,397.9596007705
188805,188805,34.2163840697,108.8856322662,403.6203501329
188807,188807,34.2164481063,108.8857479881,389.2242926910
188808,188808,34.2164272468,108.8857509193,393.2438188098
188809,188809,34.2164023801,108.8856712290,399.8200511192
188810,188810,34.2164390447,108.8857197694,400.5997211923
188811,188811,34.2164473720,108.8857451566,393.4204160910
