365537,365537,-nan,-nan,-6292741.6544055268
365605,365605,31.2722465511,121.5867690802,-16502.4267698052
365608,365608,31.2748818368,121.5991938904,-21310.5160159697
365609,365609,31.2878013561,121.5827521569,-20638.3216613111
365613,365613,31.2455746613,121.6059388612,-20974.5266423130
365614,365614,31.2596946161,121.6175268670,60.9218376618
365618,365618,31.2596947692,121.6175922947,52.7336682138
365619,365619,31.2597051832,121.6176195990,46.0492441844
365620,365620,31.2597269854,121.6175968309,46.8092726094
365623,365623,31.2597142429,121.6175915089,48.4152124292
365624,365624,31.2597182922,121.6174064232,86.0370400528
365627,365627,31.2595615324,121.6171398535,143.4331432151
365628,365628,31.2597523547,121.6175404680,58.7558254113
365631,365631,31.2597196531,121.6176007302,53.5192936897
365632,365632,31.2596793173,121.6175124958,70.9256595636
365635,365635,31.2597191443,121.6176365461,50.2756956039
365636,365636,31.2598103773,121.6175000507,52.2298806056
365640,365640,31.2597801603,121.6175855784,56.8274316467
365641,365641,31.2596786888,121.6176689883,61.2522420774
365646,365646,31.2596392075,121.6176367587,69.1437210957
365647,365647,31.2596866174,121.6171924125,106.3298008990
365650,365650,31.2596682870,121.6171623275,114.2064650220
365651,365651,31.2595985482,121.6172243897,121.0672548056
365654,365654,31.2596059827,121.6172834666,122.2795526415
365655,365655,31.2596478949,121.6173503017,123.0527418949
365658,365658,31.2596775266,121.6172570814,124.2861791308
365659,365659,31.2597173292,121.6172266526,119.0360202724
365662,365662,31.2596969219,121.6172011676,125.5492055171
365663,365663,31.2596672254,121.6172562408,115.8192595983
365666,365666,31.2596382638,121.6171828935,120.4363954303
365667,365667,31.2596394603,121.6171630339,121.8508304215
365670,365670,31.2597048062,121.6173303958,89.4029406575
365671,365671,31.2596320221,121.6175498754,79.2595254485
365674,365674,31.2596705186,121.6175016479,75.8283210706
365675,365675,31.2596121350,121.6175099509,79.2329824058
365678,365678,31.2595886562,121.6174916873,87.1824749260
365679,365679,31.2595305075,121.6173941070,104.8721068014
365683,365683,31.2595179334,121.6173856454,109.9879351981
365684,365684,31.8313373131,122.1640700638,92878.8537565409
365689,365689,31.5743261660,122.0606053221,96589.0605199619
365690,365690,31.5743032442,122.3509901903,96482.6784674488
365693,365693,31.6225944235,122.3526032150,94594.2815950390
365694,365694,31.5935806512,122.1943007715,128735.1196730321
365697,365697,31.5723797468,122.1888151485,104526.1364405670
365698,365698,31.2594476665,121.6173915129,70.1245159789
365701,365701,31.2594016825,121.6174454770,81.2816459888
365702,365702,31.2593879232,121.6174652902,75.6984743820
365705,365705,31.2593725517,121.6175001275,80.4635687787
365706,365706,31.2593335763,121.6174220481,79.2826352950
365709,365709,31.2593045444,121.6174405455,87.5637737060
365710,365710,31.2592464000,121.6174677655,93.0551636013
365713,365713,31.2592458778,121.6174847176,89.5537148603
365714,365714,31.2592092722,121.6174838701,93.2954918885
365717,365717,31.2591695571,121.6174211447,98.2869940048
365718,365718,31.2591452585,121.6173536178,94.7938103065
365721,365721,31.2591812044,121.6173913484,85.7583195753
365722,365722,30.7404982568,122.0517939912,40176.6148332245
365725,365725,30.7382701234,122.0442480709,39067.0825908741
365726,365726,30.7998162779,121.9842388453,-1469.5644069766
365729,365729,30.8753915836,121.8980032452,-18997.2436733162
365730,365730,31.2593037369,121.6169959816,32.5497019912
365734,365734,31.2591067320,121.6171484870,80.2250237790
365735,365735,31.2591902876,121.6171049481,75.1094214725
365740,365740,31.2589384799,121.6172443100,113.9429996069
365741,365741,31.2590041269,121.6172233164,113.4960873013
365743,365743,31.2589496540,121.6171733622,97.8596001143
365744,365744,31.2590116978,121.6171740054,81.5234350235
365747,365747,31.2589852062,121.6171115786,82.4660411336
365748,365748,31.2589734072,121.6171021598,76.9835263177
365752,365752,31.2589741351,121.6170988027,79.3497017186
365753,365753,31.2590268031,121.6169172067,47.8726076531
365756,365756,31.2590845869,121.6168658896,32.8437922502
365757,365757,31.2590724342,121.6168295746,34.7640805694
365762,365762,31.2590830853,121.6168148573,33.8154078627
365763,365763,31.2588757291,121.6169311267,82.5586479297
365770,365770,31.2587439967,121.6168588567,102.6579806828
365771,365771,31.2587364156,121.6167612894,82.3145884141
365774,365774,31.2587930030,121.6167615955,74.2107002843
365775,365775,31.2588227521,121.6167695289,72.8612980147
365778,365778,31.2588047648,121.6167462737,76.2632423921
365779,365779,31.2587655804,121.6167067824,65.0108624561
365782,365782,31.2588521810,121.6166883495,63.9806000369
365783,365783,31.2588991748,121.6167172991,68.1533672163
365786,365786,31.2588709199,121.6167060187,67.6889358817
365787,365787,31.2588386505,121.6167321625,74.8216598890
365790,365790,31.2587929545,121.6167449733,71.5105767810
