377054,377054,-nan,-nan,-nan
377399,377399,31.2406834098,121.4996892247,417.3759062864
377400,377400,31.2405669641,121.4995425197,473.8057160740
377402,377402,31.2405483884,121.4997339024,458.2785978488
377403,377403,31.2415192051,121.5008024419,183.0841020902
377407,377407,31.2407148991,121.4999656955,420.2120256403
377408,377408,31.2408917419,121.4999516031,400.3950536366
377412,377412,31.2409642980,121.5001036174,379.3994768478
377413,377413,31.2409654415,121.4999167617,361.7967253788
377414,377414,31.2408052997,121.4998603364,443.2730423530
377416,377416,31.2416960640,121.5008895160,116.4479783930
377417,377417,31.2415462597,121.5009995756,150.6399240839
377421,377421,31.2408439062,121.4999569656,388.7853254720
377422,377422,31.2407258785,121.5000840459,391.8204068343
377427,377427,31.2408341521,121.5002813940,354.0900018876
377428,377428,31.2405085290,121.4997098851,639.0335995298
377431,377431,31.2404140471,121.4996373623,686.8388481329
377432,377432,31.2397632938,121.5000118986,772.5194942599
377435,377435,31.2396688408,121.4999622511,764.0124452102
377436,377436,31.2396640225,121.5000025555,780.8607994609
377439,377439,31.2395767661,121.5000639494,781.3698407066
377440,377440,31.2406563469,121.5008236007,246.6158517178
377443,377443,31.2412343225,121.5014426640,-92.7489392603
377444,377444,31.2406666233,121.5007980108,240.5066707651
377447,377447,31.2406184112,121.5008642975,256.1071865121
377448,377448,31.2406449342,121.5007497630,262.7934853311
377451,377451,31.2406537492,121.5007203170,247.4105436052
377452,377452,31.2406468852,121.5007433242,224.6661940695
377455,377455,31.2406766172,121.5007301811,221.3474122519
377456,377456,31.2409536204,121.5003028853,189.3567308935
377459,377459,31.2406778174,121.5007652490,175.3080090717
377460,377460,31.2408485514,121.5006009571,153.0188850610
377463,377463,31.2411522885,121.5006893067,49.0083973912
377464,377464,31.2412751754,121.5004803814,46.5387973151
377467,377467,31.2412820517,121.5003979152,58.1272565960
377468,377468,31.2413233341,121.5003661212,55.7139654182
377471,377471,31.2412291976,121.5003560059,71.3921444366
377472,377472,31.2412385351,121.5002398517,81.0455017259
377475,377475,31.2412715315,121.5002076714,86.9899959555
377476,377476,31.2412302930,121.5001686800,65.9079351887
377479,377479,31.2412398127,121.5001467177,56.6312302613
377480,377480,31.2411763853,121.4996569775,94.2333097481
377483,377483,31.2411905768,121.4996152540,93.2744775838
377484,377484,31.2648714555,121.4701574699,3305.0816920401
377487,377487,31.2718977958,121.4545179977,2953.4241024964
377488,377488,31.2716193208,121.4517444139,3221.5857156782
377491,377491,31.2732861253,121.4626332814,2694.1826427920
377492,377492,31.2792744357,121.4617769551,4339.1194940831
