365579,365579,-nan,-nan,-6292741.6544055268
365649,365649,31.2596279056,121.6178627374,54.1854633219
365650,365650,31.2596504425,121.6177721906,51.2616618797
365651,365651,31.2596715144,121.6177218828,47.9108980035
365652,365652,31.2597800690,121.6177017883,36.0762369146
365653,365653,31.2596988096,121.6176478665,31.9324970643
365654,365654,31.2597018413,121.6176473021,30.2413899253
365655,365655,31.2597719736,121.6176686328,28.4452059458
365656,365656,31.2597310349,121.6176802112,18.7276231819
365657,365657,31.2597236543,121.6176918350,17.9331027220
365658,365658,31.2597493413,121.6176825941,25.1364201167
365659,365659,31.2597596435,121.6176821181,29.2082182885
365660,365660,31.2597010956,121.6176762660,25.8940074234
365661,365661,31.2596998159,121.6176514512,35.4096713839
365662,365662,31.2598542302,121.6175994371,69.8643282798
365663,365663,31.2598464818,121.6175760149,53.2225447920
365664,365664,31.2597686221,121.6175993720,47.1623175682
365665,365665,31.2598404720,121.6175331717,52.7163561155
365666,365666,31.2596820111,121.6175366564,47.4995964249
365667,365667,31.2596954844,121.6175130190,47.4974235596
365668,365668,31.2597396553,121.6175080901,57.0207196540
365669,365669,31.2596811553,121.6175944624,54.6289408148
365670,365670,31.2597294269,121.6176428642,43.2820831881
365671,365671,31.2596810281,121.6176446042,50.1268678932
365672,365672,31.2596983468,121.6175420274,62.1821458032
365673,365673,31.2596862014,121.6174931026,68.0588382440
365674,365674,31.2596949364,121.6174034807,68.3608797695
365675,365675,31.2596825427,121.6173737664,68.5103270575
365676,365676,31.2596538803,121.6172815593,74.6977953350
365677,365677,31.2596789262,121.6172134307,80.6346722344
365678,365678,31.2596623656,121.6171431619,90.1070228658
365679,365679,31.2596516499,121.6171575758,81.1521683185
365680,365680,31.2596361077,121.6171526895,78.6124926073
365681,365681,31.2596189133,121.6171373390,82.6909731532
365682,365682,31.2595898578,121.6171622663,82.5005903431
365683,365683,31.2595875139,121.6171653218,68.9888060154
365684,365684,31.2595616386,121.6171520624,73.6298463041
365685,365685,31.2595144512,121.6172154642,71.4451486494
365686,365686,31.2594824191,121.6171997303,73.5950655141
365687,365687,31.2594953312,121.6171685564,71.5318986856
365688,365688,31.2594862427,121.6171659839,72.2948042752
365689,365689,31.2595006462,121.6171472887,63.2937718894
365690,365690,31.2595034904,121.6171211165,56.1189430147
365691,365691,31.2594926864,121.6171283479,54.4312700578
365692,365692,31.2594774215,121.6171273263,54.8423060130
365693,365693,31.2594542276,121.6171239311,58.3439522399
365694,365694,31.2594524684,121.6170918116,53.9261597749
365695,365695,31.2594483197,121.6170756236,50.5027298623
365696,365696,31.2594428685,121.6170670117,47.9579830430
365697,365697,31.2594431917,121.6170494746,45.6786235295
365698,365698,31.2594613854,121.6170123891,35.9586184644
365699,365699,31.2593616543,121.6171839134,63.3131450820
365700,365700,31.2593907989,121.6171438178,59.3616529676
365701,365701,31.2594441088,121.6170588645,45.7375852777
365702,365702,31.2594411700,121.6171110316,59.2996501545
365703,365703,31.2594381672,121.6171234447,57.6005854403
365704,365704,31.2593914428,121.6171894855,63.8916755167
365705,365705,31.2593717987,121.6172023981,63.3032303978
365706,365706,31.2592860166,121.6172955167,78.5788046764
365707,365707,31.2592774067,121.6172877590,75.3259103529
365708,365708,31.2592708383,121.6173102319,79.1802536223
365709,365709,31.2592435031,121.6173041118,79.0540912811
365710,365710,31.2592618900,121.6172650902,71.2926336236
365711,365711,31.2593742421,121.6171117027,35.0361870929
365712,365712,31.2593586418,121.6171164467,33.3379879380
365713,365713,31.2593603752,121.6171076236,34.3888389161
365714,365714,31.2591615266,121.6173121329,80.8309956374
365715,365715,31.2593439113,121.6171034605,29.6822459393
365716,365716,31.2591018619,121.6173544780,90.5165367649
365717,365717,31.2592420982,121.6172208463,57.7358320826
365718,365718,31.2592176633,121.6172426793,61.4014442659
365719,365719,31.2592282048,121.6172421853,57.9807498619
365720,365720,31.2592223035,121.6172091595,56.6197052841
365721,365721,31.2592164169,121.6171940293,52.1655819698
365722,365722,31.2592622508,121.6171240871,33.6484530678
365723,365723,31.2592550767,121.6170931564,34.4763050501
365724,365724,31.2592628970,121.6170879528,32.2967244611
365725,365725,31.2592434237,121.6170821585,33.8283523738
365726,365726,31.2591426254,121.6171185577,57.2792307960
365727,365727,31.2591793964,121.6170972425,48.0063192101
365728,365728,31.2591857083,121.6170326949,42.0661552780
365729,365729,31.2590585899,121.6171148804,75.0553371197
365730,365730,31.2590399421,121.6170753167,78.9041854445
365731,365731,31.2591451030,121.6169567631,54.4885937380
365732,365732,31.2590668085,121.6169808246,66.1927059319
365733,365733,31.2590846964,121.6169588765,62.7343539213
365734,365734,31.2590507592,121.6169321235,72.0300180320
365735,365735,31.2590545143,121.6169261382,67.7050470242
365736,365736,31.2590813187,121.6168826803,61.4417244653
365737,365737,31.2590956878,121.6168471230,52.1889980326
365738,365738,31.2590588753,121.6168505154,61.6017796805
365739,365739,31.2590533410,121.6168384233,64.6051854351
365740,365740,31.2590484852,121.6168187145,59.6529674433
365741,365741,31.2590668924,121.6168023649,50.5088070577
365742,365742,31.2590367221,121.6167989197,55.4576912570
365743,365743,31.2589336599,121.6168724502,67.6191588237
365744,365744,31.2589028348,121.6168665117,65.2961357823
365745,365745,31.2589208814,121.6168860807,59.6576683284
365746,365746,31.2589898911,121.6168193407,38.7097602665
365747,365747,31.2589135131,121.6168981942,64.3249185075
365748,365748,31.2589496466,121.6168828495,55.6744814061
365749,365749,31.2589020979,121.6168980307,70.2767099676
365750,365750,31.2588063739,121.6169345981,84.8891127610
365751,365751,31.2588297584,121.6168695370,94.1979648196
365752,365752,31.2587291948,121.6168467235,114.5723999370
365753,365753,31.2587583369,121.6168755551,108.8999697266
365754,365754,31.2587606507,121.6168279908,103.0561136119
365755,365755,31.2587411099,121.6167994901,107.3382131262
365756,365756,31.2587521017,121.6167776326,114.0758564114
365757,365757,31.2588502258,121.6167215086,83.2891194898
365758,365758,31.2587981986,121.6167053104,92.9722972067
365759,365759,31.2587661141,121.6166972548,94.4599107653
365760,365760,31.2587175170,121.6166855399,104.9198380096
365761,365761,31.2586902972,121.6166723305,108.0597447014
365762,365762,31.2586840968,121.6166311178,111.1089365728
365763,365763,31.2587042813,121.6166057146,112.4442194822
365764,365764,31.2586540977,121.6165833234,113.7089240993
365765,365765,31.2586855974,121.6165591767,112.4766966471
365766,365766,31.2587361869,121.6165390084,102.9899456793
365767,365767,31.2586883436,121.6165451479,95.1615804464
365768,365768,31.2586723946,121.6165487751,97.3415211441
365769,365769,31.2587164629,121.6164969075,84.8397608616
365770,365770,31.2586838263,121.6165229258,91.9809110740
365771,365771,31.2587253015,121.6165136218,81.8688126746
365772,365772,31.2586828043,121.6165538564,88.9360166912
365773,365773,31.2586851114,121.6165085626,89.6386341804
365774,365774,31.2587033529,121.6164792623,84.5364894594
365775,365775,31.2586880220,121.6164427109,79.9417684298
365776,365776,31.2586487505,121.6164868464,85.8363760056
365777,365777,31.2586395682,121.6164987444,84.3022662148
365778,365778,31.2586518768,121.6164806051,81.7914706496
365779,365779,31.2586509912,121.6164533141,80.2646675659
365780,365780,31.2586179827,121.6164573406,80.3957385357
365781,365781,31.2586263927,121.6164801033,67.6516225757
365782,365782,31.2586100731,121.6165115180,69.2127587346
365783,365783,31.2585819670,121.6165048850,64.0359933219
365784,365784,31.2585793562,121.6164966460,59.6073149750
365785,365785,31.2585899589,121.6164959593,54.1742259256
365786,365786,31.2585680966,121.6165140477,58.2897719724
